"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDEXPRD","TOT","MLN_USD","A","1981",3532.94849453644,
"AUS","GDEXPRD","TOT","MLN_USD","A","1984",4313.69879765169,
"AUS","GDEXPRD","TOT","MLN_USD","A","1986",5300.35338171419,
"AUS","GDEXPRD","TOT","MLN_USD","A","1987",5407.74064729894,
"AUS","GDEXPRD","TOT","MLN_USD","A","1988",5744.55161506051,
"AUS","GDEXPRD","TOT","MLN_USD","A","1990",6416.56323553466,
"AUS","GDEXPRD","TOT","MLN_USD","A","1992",7778.5656795612,
"AUS","GDEXPRD","TOT","MLN_USD","A","1994",8671.6796400841,
"AUS","GDEXPRD","TOT","MLN_USD","A","1996",9822.2601890196,
"AUS","GDEXPRD","TOT","MLN_USD","A","1998",9802.53516786775,
"AUS","GDEXPRD","TOT","MLN_USD","A","2000",10669.1077380925,
"AUS","GDEXPRD","TOT","MLN_USD","A","2002",12757.7170221861,
"AUS","GDEXPRD","TOT","MLN_USD","A","2004",14379.6819096172,
"AUS","GDEXPRD","TOT","MLN_USD","A","2006",17769.6388221012,
"AUS","GDEXPRD","TOT","MLN_USD","A","2008",21039.2183872909,
"AUS","GDEXPRD","TOT","MLN_USD","A","2010",21381.8968640487,
"AUS","GDEXPRD","TOT","MLN_USD","A","2011",21520.9544069395,
"AUS","GDEXPRD","TOT","MLN_USD","A","2013",22435.3807070096,
"AUS","GDEXPRD","TOT","MLN_USD","A","2015",21151.5170249401,
"AUS","GDEXPRD","TOT","MLN_USD","A","2017",21237.2878605851,
"AUS","GDEXPRD","TOT","PC_GDP","A","1981",0.90254249352276,
"AUS","GDEXPRD","TOT","PC_GDP","A","1984",1.02390487417703,
"AUS","GDEXPRD","TOT","PC_GDP","A","1986",1.17914919532666,
"AUS","GDEXPRD","TOT","PC_GDP","A","1987",1.13775579514159,
"AUS","GDEXPRD","TOT","PC_GDP","A","1988",1.16359114729298,
"AUS","GDEXPRD","TOT","PC_GDP","A","1990",1.25991319096781,
"AUS","GDEXPRD","TOT","PC_GDP","A","1992",1.46214446652217,
"AUS","GDEXPRD","TOT","PC_GDP","A","1994",1.50973214953687,
"AUS","GDEXPRD","TOT","PC_GDP","A","1996",1.58339164870311,
"AUS","GDEXPRD","TOT","PC_GDP","A","1998",1.43809230481455,
"AUS","GDEXPRD","TOT","PC_GDP","A","2000",1.47746452105193,
"AUS","GDEXPRD","TOT","PC_GDP","A","2002",1.64947063523772,
"AUS","GDEXPRD","TOT","PC_GDP","A","2004",1.73124480279627,
"AUS","GDEXPRD","TOT","PC_GDP","A","2006",2.0041726755096,
"AUS","GDEXPRD","TOT","PC_GDP","A","2008",2.24570188351341,
"AUS","GDEXPRD","TOT","PC_GDP","A","2010",2.18230410088224,
"AUS","GDEXPRD","TOT","PC_GDP","A","2011",2.11403053636714,
"AUS","GDEXPRD","TOT","PC_GDP","A","2013",2.09389251374701,
"AUS","GDEXPRD","TOT","PC_GDP","A","2015",1.87561246606434,
"AUS","GDEXPRD","TOT","PC_GDP","A","2017",1.78938395551166,
"AUT","GDEXPRD","TOT","MLN_USD","A","1981",2366.6811807466,
"AUT","GDEXPRD","TOT","MLN_USD","A","1982",2515.24466058108,
"AUT","GDEXPRD","TOT","MLN_USD","A","1983",2610.95312050375,
"AUT","GDEXPRD","TOT","MLN_USD","A","1984",2726.64537845554,
"AUT","GDEXPRD","TOT","MLN_USD","A","1985",2799.47470091137,
"AUT","GDEXPRD","TOT","MLN_USD","A","1986",2958.10436269671,
"AUT","GDEXPRD","TOT","MLN_USD","A","1987",3016.57877515613,
"AUT","GDEXPRD","TOT","MLN_USD","A","1988",3216.40310991818,
"AUT","GDEXPRD","TOT","MLN_USD","A","1989",3394.22704797459,
"AUT","GDEXPRD","TOT","MLN_USD","A","1990",3667.57692074556,
"AUT","GDEXPRD","TOT","MLN_USD","A","1991",4009.60875273093,
"AUT","GDEXPRD","TOT","MLN_USD","A","1992",4056.6317418676,
"AUT","GDEXPRD","TOT","MLN_USD","A","1993",4126.50896262937,
"AUT","GDEXPRD","TOT","MLN_USD","A","1994",4457.23831392232,
"AUT","GDEXPRD","TOT","MLN_USD","A","1995",4636.90418886338,
"AUT","GDEXPRD","TOT","MLN_USD","A","1996",4904.11634002615,
"AUT","GDEXPRD","TOT","MLN_USD","A","1997",5241.61865795686,
"AUT","GDEXPRD","TOT","MLN_USD","A","1998",5680.7690508769,
