nquest,nord,intper,attivp,partime,contratt,tuttanno,mesilav,attest,dimaz,oretot,pstra,orestra,b1bonus,ylm,integ,ylnm,contaz_1,contaz_2,contaz_3
1763,2,1,1,1,2,2,5,1,3,40,2,,2,6000,2,0,2,2,2
5416,1,1,1,1,1,1,12,1,1,30,2,,2,10000,2,0,2,2,2
5416,2,2,1,1,1,1,12,1,2,35,2,,2,9000,2,0,2,2,2
5416,3,3,1,1,1,1,12,1,1,20,2,,2,8000,2,0,2,2,2
5416,4,4,1,1,1,1,12,1,2,40,2,,2,16000,2,0,2,2,2
7886,2,2,1,2,2,1,12,1,1,20,1,10,2,10000,2,0,2,2,2
20297,2,1,1,1,1,1,12,1,4,44,1,12,2,22000,2,0,2,2,2
22173,3,3,1,2,1,1,12,1,1,26,2,,2,8400,2,0,2,2,2
22624,1,1,1,1,1,1,12,1,4,40,2,,2,15500,2,0,2,2,2
22657,1,1,1,1,1,1,12,1,8,40,1,2,1,23000,2,0,2,2,2
23797,1,1,1,1,1,1,12,1,1,40,2,,2,18200,2,0,2,2,2
23823,2,1,1,1,1,1,12,1,1,44,2,,2,13000,2,0,2,2,2
24147,2,1,1,1,1,1,12,1,4,35,2,,2,20000,2,0,2,2,2
24194,2,2,1,2,1,1,12,1,1,8,2,,2,2500,2,0,2,2,2
24194,3,3,1,1,1,2,2,1,3,40,2,,2,3500,2,0,2,2,2
24194,3,3,2,1,1,2,10,1,2,40,2,,2,15000,2,0,2,2,2
24194,4,4,1,1,2,2,7,1,7,40,2,,2,9800,1,700,2,2,2
24194,4,4,2,1,2,2,5,1,5,45,2,,2,5500,1,350,2,2,2
24764,2,1,1,1,1,1,12,1,6,40,2,,2,19200,2,0,2,2,2
24853,2,2,1,1,1,1,12,1,8,30,2,,2,20000,2,0,1,2,2
27157,2,1,1,2,1,1,12,1,1,20,2,,2,7200,2,0,2,2,2
27238,2,1,1,1,1,1,12,1,2,40,2,,2,15000,2,0,2,2,2
27730,4,1,1,1,1,1,12,1,2,40,2,,2,16640,2,0,2,2,2
27912,3,1,1,1,1,1,12,1,4,40,2,,1,15600,2,0,2,2,2
28802,2,2,1,1,1,1,12,1,6,40,2,,2,32000,2,0,2,2,2
