nquest,nord,intper,attivp,tuttanno,mesilav,prof,numadd,numdip,quopro,dovelav,orario,oretot,fatlor,ym,enteprev,debatt1,debatt2,ndebatt1,ndebatt2,debcom,tdebcom,credcom,tcredcom,tfr,immob,valaz
22099,1,1,1,1,12,3,1,0,100,,,48,20000,14000,1,2,2,,,2,,2,,,1,130000
27157,1,1,1,1,12,3,1,0,100,,,60,18000,9600,1,2,2,,,2,,1,5000,,2,0
28802,1,1,1,1,12,3,2,0,50,,,40,30000,14000,1,2,2,,,1,3000,2,,,2,20000
29680,2,1,1,1,12,3,1,0,100,,,40,15000,8000,1,2,2,,,2,,2,,,2,35000
32057,3,1,1,1,12,1,1,0,100,,,40,35000,28000,1,2,2,,,2,,2,,,2,150000
32320,3,1,2,2,6,4,,,,1,3,20,3000,2000,1,,,,,2,,2,,,,
32729,1,1,1,1,12,3,1,0,100,,,40,79000,30000,1,1,2,1,,2,,1,25000,,2,25000
32887,1,1,1,1,12,3,3,2,100,,,45,25000,12500,1,2,2,,,2,,2,,10000,2,50000
33335,3,1,1,3,,1,1,0,100,,,20,5000,5000,1,2,2,,,2,,2,,,2,10000
33336,1,1,1,3,,3,1,0,100,,,20,9000,4500,1,2,2,,,2,,2,,,2,1000
33985,1,1,1,2,10,1,1,0,100,,,50,60000,40000,3,2,2,,,2,,1,25000,,2,0
35508,1,1,1,1,12,2,1,0,100,,,70,,-1000,17,1,2,4,,2,,2,,,1,100000
36250,2,2,1,1,12,3,2,1,100,,,45,15000,7000,1,1,2,1,,2,,2,,2000,2,20000
36333,2,1,1,2,8,4,,,,2,2,20,7000,5500,1,,,,,2,,2,,,,
38316,1,1,1,1,12,1,2,1,100,,,45,80000,40000,18,2,2,,,2,,2,,9500,1,100000
38316,2,2,1,1,12,1,1,0,100,,,30,40000,20000,18,2,2,,,2,,2,,,2,50000
38885,2,1,1,1,12,3,1,0,100,,,48,15000,5000,1,2,2,,,2,,2,,,2,40000
38939,2,1,1,1,12,1,2,1,100,,,40,30000,20000,7,2,2,,,2,,2,,16800,2,10000
39086,1,1,1,3,,3,1,0,100,,,20,5000,3000,1,2,2,,,2,,2,,,2,0
39227,1,1,1,1,12,2,2,1,100,,,50,25000,5000,1,1,1,1,2,2,,2,,8500,1,500000
39318,1,1,1,1,12,3,1,0,100,,,40,10000,7000,1,2,2,,,2,,2,,,2,20000
39318,1,1,2,1,12,3,1,0,100,,,12,12000,8000,1,2,2,,,2,,2,,,2,30000
51444,4,1,1,2,8,4,,,,2,2,4,3200,3200,1,,,,,2,,2,,,,
51544,1,1,1,2,6,3,1,0,100,,,50,5000,1000,1,2,2,,,2,,2,,,2,10000
55425,1,1,1,1,12,1,1,0,100,,,45,7000,5000,1,2,2,,,2,,2,,,2,20000
56658,1,1,1,1,12,3,1,0,100,,,30,7000,4000,1,2,2,,,2,,1,2000,,2,0
56761,2,1,1,1,12,3,1,0,100,,,60,18000,10000,1,2,2,,,2,,2,,,2,1000
91079,2,1,1,1,12,2,1,0,100,,,50,23000,,1,2,2,,,1,2000,2,,,2,50000
91081,1,1,2,2,10,3,1,0,100,,,50,20000,13000,1,2,2,,,2,,2,,,1,25000
145007,1,1,2,1,12,1,1,0,100,,,20,18000,5000,3,2,2,,,2,,2,,,2,1000
244058,2,1,1,1,12,3,1,0,100,,,48,20000,15000,1,2,2,,,2,,2,,,2,0
500669,1,1,1,1,12,3,1,0,100,,,45,25000,19000,1,2,2,,,2,,2,,,2,30000
502060,1,1,1,1,12,3,2,1,100,,,40,20000,5000,1,2,2,,,2,,2,,20000,2,5000
504821,1,1,1,1,12,1,3,2,99,,,40,254069,72000,1,2,2,,,2,,2,,28674,2,50000
505243,2,2,1,1,12,1,1,0,100,,,40,28000,14000,1,2,2,,,2,,2,,,2,2000
505390,1,1,1,1,12,1,1,0,100,,,50,110000,60000,1,2,2,,,2,,2,,,1,500000
505839,1,1,2,3,,1,1,0,100,,,1,300,300,1,2,2,,,2,,2,,,2,0
505839,1,1,2,3,,1,1,0,100,,,1,480,480,1,2,2,,,2,,2,,,2,0
506396,1,1,1,1,12,1,1,0,100,,,45,30000,20000,4,2,2,,,2,,2,,,2,0
507282,2,1,1,1,12,2,2,1,100,,,50,50000,25000,1,2,2,,,1,5000,1,35000,30000,2,160000
507360,1,1,1,1,12,1,1,0,100,,,38,40000,7000,3,2,2,,,2,,2,,,2,10000
507419,2,1,1,1,12,2,3,1,51,,,70,58000,31000,1,2,2,,,2,,1,1000,35000,1,37000
507905,3,1,1,1,12,3,3,0,10,,,40,13000,12000,1,2,2,,,2,,2,,,2,0
509057,4,1,1,1,12,3,1,0,100,,,48,14000,9000,1,2,2,,,2,,2,,,2,20000
510345,2,1,1,1,12,3,1,0,100,,,50,35000,24000,1,2,2,,,2,,2,,,2,30000
511307,2,1,1,1,12,1,1,0,100,,,30,25000,20000,3,2,2,,,2,,2,,,2,10000
512211,2,2,1,2,8,3,1,0,100,,,10,,,99,2,2,,,2,,2,,,2,0
512452,1,1,1,1,12,3,6,3,100,,,60,70000,20000,1,2,2,,,2,,2,,3000,1,200000
512457,3,1,1,1,12,1,1,0,100,,,45,18000,10000,3,2,2,,,2,,2,,,2,35000
512849,3,1,1,1,12,3,2,1,10,,,40,9000,3000,1,2,2,,,2,,2,,800,2,5000
513406,1,1,1,1,12,1,1,0,100,,,40,60000,35000,1,2,2,,,2,,2,,,2,100000
513437,2,1,2,1,12,1,1,0,80,,,8,10000,1000,17,2,2,,,2,,2,,,2,70000
612269,1,1,1,1,12,3,1,0,100,,,45,40000,20000,1,2,2,,,2,,2,,,2,50000
620481,2,2,1,3,,1,1,0,100,,,20,60000,30000,1,2,2,,,2,,2,,,2,0
623305,3,1,1,1,12,4,,,,2,2,20,9600,9600,1,,,,,2,,2,,,,
624781,1,1,1,1,12,3,1,0,100,,,48,30000,20000,1,1,2,1,,1,2000,1,2000,,1,120000
626259,1,1,1,1,12,3,15,14,100,,,45,50000,15000,1,2,2,,,2,,2,,17000,1,200000
628418,1,1,1,1,12,3,1,0,100,,,48,40000,20000,1,2,2,,,2,,1,32000,,1,15000
629984,2,1,1,2,6,1,1,0,100,,,30,8000,6000,1,2,2,,,2,,2,,,2,100
633458,1,1,2,3,,4,,,,1,1,2,3600,500,1,,,,,2,,2,,,,
633458,2,2,1,1,12,4,,,,1,1,40,30000,18000,1,,,,,2,,2,,,,
634732,3,1,1,1,12,3,1,0,100,,,40,15000,10000,1,2,2,,,2,,2,,,2,5000
637701,2,1,1,1,12,3,1,0,100,,,40,10000,5000,1,2,2,,,2,,2,,,1,10000
639502,1,1,1,1,12,1,1,0,100,,,45,60000,30000,1,2,2,,,2,,2,,,2,150000
639924,1,1,1,1,12,2,2,1,100,,,60,50000,25500,1,2,2,,,1,2000,2,,3000,2,300000
640821,2,1,1,1,12,1,1,0,100,,,40,220000,100000,18,2,2,,,2,,2,,,2,0
