nquest,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,attivp1,attivp2,attivp3,attivp4,attivp5,attivp6,attivp7,attivp8,attivp9,attivp10,attivp11,attivp12,mesilav1,mesilav2,mesilav3,mesilav4,mesilav5,mesilav6,mesilav7,mesilav8,mesilav9,mesilav10,mesilav11,mesilav12,oretot1,oretot2,oretot3,oretot4,oretot5,oretot6,oretot7,oretot8,oretot9,oretot10,oretot11,oretot12,numadd,numdip,quopro,forgiu,etaimpresa,fatlor,ym,enteprev1,enteprev2,enteprev3,enteprev4,enteprev5,enteprev6,enteprev7,enteprev8,enteprev9,enteprev10,enteprev11,enteprev12,DEBATT1,DEBATT2,NDEBATT1,NDEBATT2,DEBCOM,TDEBCOM,CREDCOM,TCREDCOM,tfr,immob,valaz,intper
31093,1,,,,,,,,,,,,1,,,,,,,,,,,,11,,,,,,,,,,,,50,,,,,,,,,,,,1,1,100,7,20,30000,15000,1,,,,,,,,,,,,2,2,,,2,,2,,20000,2,100000,1
33335,2,,,,,,,,,,,,2,,,,,,,,,,,,12,,,,,,,,,,,,15,,,,,,,,,,,,4,0,100,7,6,5000,3000,1,,,,,,,,,,,,1,2,2,,2,,2,,,1,100000,2
36250,3,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,40,,,,,,,,,,,,2,1,100,7,3,15000,7000,1,,,,,,,,,,,,2,2,,,2,,2,,2000,2,20000,1
53564,2,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,50,,,,,,,,,,,,1,0,100,7,15,35000,18000,1,,,,,,,,,,,,2,2,,,1,20000,1,5000,,2,100,1
56761,2,,,,,,,,,,,,2,,,,,,,,,,,,12,,,,,,,,,,,,20,,,,,,,,,,,,1,1,100,7,15,10000,8000,1,,,,,,,,,,,,2,2,,,2,,2,,10000,2,1000,1
505525,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,35,,,,,,,,,,,,4,1,33,8,50,750000,100000,1,,,,,,,,,,,,2,2,,,2,,2,,,1,1500000,1
507037,1,,,,,,,,,,,,2,,,,,,,,,,,,5,,,,,,,,,,,,6,,,,,,,,,,,,2,1,100,7,16,3000,2500,1,,,,,,,,,,,,2,2,,,2,,2,,500,2,10000,1
507419,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,60,,,,,,,,,,,,3,1,51,7,17,55000,30000,1,,,,,,,,,,,,2,2,,,2,,1,1000,100,1,37000,1
512452,2,3,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,30,40,,,,,,,,,,,6,3,100,5,4,60000,25000,1,1,,,,,,,,,,,2,2,,,2,,2,,6000,2,150000,1
626259,3,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,40,,,,,,,,,,,,15,14,50,1,47,30000,10000,1,,,,,,,,,,,,2,2,,,2,,2,,10000,1,100000,1
649032,1,,,,,,,,,,,,2,,,,,,,,,,,,12,,,,,,,,,,,,45,,,,,,,,,,,,1,1,100,7,42,20000,10000,1,,,,,,,,,,,,2,2,,,2,,2,,4000,1,10000,1
671152,1,,,,,,,,,,,,2,,,,,,,,,,,,12,,,,,,,,,,,,10,,,,,,,,,,,,6,3,50,1,20,30000,20000,3,,,,,,,,,,,,1,1,1,1,1,5000,1,5000,24000,1,10000,1
674196,1,,,,,,,,,,,,1,,,,,,,,,,,,11,,,,,,,,,,,,48,,,,,,,,,,,,1,0,100,7,36,18000,15000,1,,,,,,,,,,,,2,2,,,2,,2,,,1,150000,1
674868,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,40,,,,,,,,,,,,6,6,30,1,8,50000,10000,1,,,,,,,,,,,,2,2,,,2,,2,,20000,1,100000,1
675801,2,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,,,,,,,,,35,,,,,,,,,,,,3,1,49,7,13,50000,25000,1,,,,,,,,,,,,2,2,,,2,,2,,2200,1,200000,1
675905,1,2,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,40,40,,,,,,,,,,,2,1,100,7,30,40000,35000,1,1,,,,,,,,,,,2,2,,,2,,2,,10000,2,120000,1
680060,4,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,30,,,,,,,,,,,,3,2,90,7,4,14000,11000,1,,,,,,,,,,,,2,2,,,2,,2,,5000,2,10000,1
