nquest,nord,intper,attivp,tuttanno,mesilav,numadd,numdip,forgiu,etaimpresa,oretot,compfiss,dividut,enteprev,quopro,partecip
36524,3,1,1,1,12,2,0,7,1,50,6000,0,7,50,20000
243067,1,1,1,3,,6,5,4,16,10,,0,1,25,35000
243067,1,1,2,3,,3,0,4,12,1,0,1750,1,5,6500
243067,2,2,1,1,12,3,0,4,12,48,7000,17500,1,50,65000
243067,3,2,1,1,12,3,0,4,12,48,7000,5250,1,15,19500
504821,1,1,2,1,12,3,2,7,20,40,0,15000,1,99,60000
505655,1,1,1,1,12,3,0,1,6,55,15000,0,1,33,30000
505810,1,1,1,1,12,40,38,1,53,50,40000,0,1,26,1500000
505810,2,1,1,3,,40,38,1,53,10,20000,0,1,16,1000000
505818,1,1,1,1,12,27,24,1,17,50,60000,30000,1,33,50000
512941,1,1,1,1,12,2,0,5,11,45,20000,0,1,50,100000
513428,1,1,1,1,12,6,4,4,6,30,28000,8000,1,50,200000
625641,1,1,1,2,4,700,0,6,60,10,0,8500,1,1,100000
635346,1,1,1,1,12,50,50,6,38,50,0,10000,1,2,20000
640212,2,1,1,1,12,15,12,1,50,40,15000,0,1,5,10000
650027,1,1,1,1,12,2,0,5,38,60,12000,10000,1,50,30000
674686,2,1,1,1,12,4,0,7,4,30,,0,1,67,100000
674686,3,1,1,2,7,4,0,7,4,10,6000,0,1,6,30000
677176,1,1,1,1,12,4,0,5,25,50,25000,0,1,25,70000
677176,2,1,1,1,12,4,0,5,25,45,25000,0,1,25,70000
677176,3,1,1,1,12,4,0,5,25,30,18000,0,1,25,70000
677176,4,1,1,1,12,4,0,5,25,30,18000,0,1,25,70000
681844,1,1,2,1,12,2,0,4,16,1,0,12000,1,25,5000
681844,2,1,2,1,12,1,1,4,16,50,0,28500,1,75,15000
682737,1,1,1,1,12,80,80,1,10,30,7500,0,1,1,200000
683437,1,1,1,1,12,2,0,5,16,35,0,4000,1,50,30000
683472,1,1,1,1,12,2,0,5,3,50,1700,0,1,50,150000
686661,3,1,1,1,12,4,1,1,3,45,10000,5000,1,35,30000
719801,3,1,1,1,12,3,1,1,3,45,15000,2000,1,60,10000
727039,1,1,1,1,12,4,0,1,5,16,0,18000,3,1,50000
727039,2,2,2,1,12,6,0,1,5,10,0,18000,14,95,50000
728148,1,1,1,1,12,80,80,1,33,50,60000,25000,1,27,250000
728547,1,1,1,1,12,2,0,1,15,25,20000,0,3,90,10000
736034,2,1,1,1,12,5,3,7,30,40,20000,0,1,30,30000
801875,1,1,1,1,12,2,0,4,5,30,4000,3000,1,80,150000
850016,1,1,1,1,12,3,3,7,17,30,14400,100,1,49,25000
851968,2,1,1,1,12,2,0,7,20,50,24000,0,1,50,50000
853911,1,1,1,1,12,15,14,7,60,30,,0,1,50,25000
853911,1,1,2,1,12,10,8,7,10,9,,0,1,15,8000
853911,1,1,2,1,12,35,30,7,22,15,,0,1,35,15000
853911,3,1,1,1,12,2,0,7,60,30,,0,1,50,20000
853911,3,1,2,1,12,10,8,7,10,10,,0,1,10,12000
853911,3,1,2,1,12,15,5,7,22,15,,0,1,20,15000
858353,1,1,1,1,12,5,0,5,39,24,0,1700,1,16,18000
859597,1,1,1,1,12,4,4,1,20,50,25000,5000,1,59,70000
860940,1,1,1,1,12,20,18,1,30,50,26000,6000,1,50,20000
860940,2,1,1,1,12,20,18,1,30,50,26000,6000,1,50,20000
862168,1,1,1,1,12,1,0,7,4,50,0,18000,1,50,120000
862302,1,1,2,1,12,6,3,4,36,60,14000,12000,1,33,200000
863402,2,1,2,3,,2,0,7,17,3,,0,1,1,30000
868337,2,1,1,1,12,2,0,6,17,44,14000,0,1,50,25000
869022,1,1,1,2,9,5,3,5,15,40,9000,0,1,50,1000
871461,2,1,1,1,12,4,0,7,5,45,0,12000,1,50,2000
871697,4,4,1,1,12,3,1,4,40,45,17000,5000,1,33,50000
875206,1,1,1,1,12,3,0,5,38,45,14000,0,1,15,12000
875585,1,1,1,1,12,4,1,5,15,50,30000,30000,1,33,70000
875909,1,1,1,1,12,9,7,1,81,70,22000,0,1,39,900000
877241,1,1,1,1,12,15,9,1,27,40,36000,0,1,35,35000
877241,1,1,2,1,12,6,2,1,25,10,14400,0,1,1,10000
878007,1,1,1,1,12,4,1,1,40,10,0,7500,1,99,100000
878182,1,1,1,1,12,5,2,5,10,60,15000,15000,1,25,15000
878552,2,1,1,1,12,2,0,7,35,50,20000,0,1,50,20000
878873,1,1,2,1,12,4,2,4,20,5,0,5000,6,42,5000
878873,4,1,1,1,12,2,1,1,18,44,,0,1,77,30000
879487,2,2,1,1,12,2,0,1,1,36,12000,0,1,30,50000
879958,1,1,1,1,12,3,1,5,8,40,20000,5000,2,50,20000
881817,2,1,1,1,12,2,0,5,17,40,19500,5000,1,50,70000
883754,2,1,1,1,12,2,0,4,8,5,0,15000,1,50,200000
886342,2,1,1,1,12,2,0,7,10,42,14000,6000,4,50,50000
886443,1,1,1,1,12,2,1,2,20,40,65000,0,1,55,1000000
888695,1,1,1,1,12,5,2,5,33,50,10000,2000,1,33,15000
891692,1,1,1,1,12,2,0,5,13,40,6000,1000,1,50,25000
891692,2,1,1,1,12,3,0,5,11,40,10000,2500,1,33,20000
891877,1,1,1,1,12,1,0,5,13,48,4000,4000,1,99,40000
893013,1,1,1,1,12,9,6,5,16,60,40000,5000,1,27,20000
894792,1,1,1,1,12,2,0,5,30,48,8000,8000,1,50,500
894792,2,1,1,1,12,2,0,5,30,50,8000,8000,1,50,500
895730,3,1,1,2,9,4,0,1,1,45,,0,1,33,50000
896060,1,1,1,1,12,14,13,1,7,50,12000,0,1,95,75000
896060,1,1,2,1,12,1,0,4,9,20,,0,1,70,20000
896060,2,2,1,1,12,2,0,5,8,50,,0,1,50,15000
896432,2,1,1,1,12,3,0,7,3,66,20000,4000,1,33,50000
896534,1,1,1,1,12,3,0,5,26,44,21000,0,1,33,5000
900696,2,1,2,1,12,3,0,5,29,50,12000,0,1,45,15000
900696,4,1,2,1,12,3,0,5,29,40,10000,0,1,10,15000
901582,1,1,1,1,12,4,3,1,60,50,20000,10000,1,90,50000
903368,1,1,1,1,12,6,0,5,30,50,7200,0,1,1,800
909640,2,1,1,1,12,6,4,1,4,45,18000,6000,1,50,30000
910153,1,1,1,1,12,2,1,1,10,48,30000,15000,1,30,50000
910632,1,1,1,1,12,2,0,7,18,45,15000,0,1,50,50000
910676,1,1,1,1,12,8,5,5,32,30,19000,0,1,48,300000
910676,2,1,1,1,12,8,5,5,32,40,19000,0,1,52,320000
911082,1,1,1,1,12,5,2,5,20,40,,0,1,30,50000
911082,2,2,1,1,12,5,2,5,20,35,,0,1,30,50000
911082,3,3,1,1,12,5,2,5,20,45,,0,1,40,50000
911919,1,1,1,1,12,3,2,4,42,45,,0,1,98,200000
912411,1,1,1,2,3,4,2,4,3,44,2400,200,1,99,30000
912849,1,1,1,1,12,7,7,1,36,60,30000,15000,1,100,700000
912897,1,1,1,1,12,5,2,4,5,45,9000,0,1,25,10000
