nquest,nord,intper,entepen,tipopen,decor,tpens,mesipen,arret,tarret,quotape
173,1,1,1,1,2005,1800,13,2,0,80
375,1,1,1,1,1986,700,13,2,0,100
633,1,1,1,1,1992,300,13,2,0,80
633,1,1,1,5,2003,800,13,2,0,
923,1,1,1,5,1994,650,13,2,0,
1367,1,1,1,1,1983,480,13,2,0,60
1367,2,1,1,1,1985,330,13,2,0,70
1763,1,1,1,1,2014,600,13,2,0,55
1946,1,1,1,4,1977,507,12,2,0,
2886,1,1,1,1,2010,1211,13,2,0,98
2886,2,1,1,1,2015,2200,13,2,0,98
7886,1,1,1,1,2007,1000,12,2,0,50
11972,1,1,1,1,2011,1200,12,2,0,50
11972,2,1,1,1,2000,800,12,2,0,40
20297,1,1,1,3,2012,1170,13,2,0,
20711,2,1,1,1,1997,1900,13,2,0,80
20837,1,1,1,1,1986,1760,13,2,0,90
20837,2,2,1,1,1988,500,13,2,0,50
22169,1,1,1,2,2009,500,13,2,0,
22169,2,1,1,3,2008,600,13,2,0,
22173,1,1,1,1,1997,1100,13,2,0,60
22208,1,1,1,1,1985,1000,13,2,0,80
22208,1,1,1,4,2016,512,12,2,0,
22208,1,1,1,5,2006,600,13,2,0,
22276,1,1,1,1,2008,1200,13,2,0,70
22276,2,1,1,1,1987,900,13,2,0,80
22286,1,1,1,1,1990,850,13,2,0,70
22286,2,2,1,1,2007,650,13,2,0,80
22657,2,1,1,1,2006,1000,13,2,0,80
22996,1,1,1,1,1990,2200,13,2,0,55
22996,2,2,1,3,2003,335,13,2,0,
23370,1,1,1,1,2000,1290,13,2,0,85
23490,1,1,1,1,1997,1400,13,2,0,90
23821,1,1,1,5,2000,610,13,2,0,
23823,1,1,1,4,2006,289,13,2,0,
23823,1,1,1,5,2006,620,13,2,0,
24147,1,1,1,1,2006,1400,13,2,0,80
24149,1,1,1,1,1981,930,13,2,0,70
24194,1,1,1,1,2011,1600,13,2,0,90
24382,1,1,1,5,2016,620,13,2,0,
24616,1,1,1,1,1995,1050,13,2,0,90
24616,1,1,1,4,2012,500,12,2,0,
24616,2,2,1,1,1998,550,13,2,0,100
24760,1,1,1,5,1969,900,12,2,0,
24809,2,1,1,1,1990,1100,13,2,0,70
24853,1,1,1,1,2011,2000,13,2,0,100
25007,1,1,1,1,1989,370,13,2,0,30
25007,1,1,2,5,2004,720,13,2,0,
26349,1,1,1,5,2013,1000,13,2,0,
27109,1,1,3,2,1985,500,12,2,0,
27114,1,1,1,5,2010,1000,12,2,0,
27116,1,1,1,5,2016,700,12,2,0,
27238,1,1,1,1,2013,1000,13,2,0,90
27509,1,1,1,1,1989,600,12,2,0,80
27509,1,1,1,3,2015,1100,12,2,0,
27730,2,1,1,1,1996,1470,13,2,0,80
27734,2,2,1,1,2003,1159,13,2,0,80
27739,1,1,1,5,1990,310,14,2,0,
27742,1,1,1,5,2006,620,13,2,0,
27912,1,1,1,1,2008,1100,12,2,0,100
27912,2,2,4,1,2016,700,2,2,0,80
27923,1,1,1,1,2010,1400,12,2,0,80
27947,1,1,1,1,1995,870,12,2,0,70
27947,2,2,1,1,1992,450,12,2,0,60
28362,1,1,1,1,1993,1600,13,2,0,80
28441,1,1,1,1,2012,1500,13,1,300,100
28859,1,1,1,5,2013,450,13,2,0,
28992,1,1,1,1,1991,1680,13,2,0,80
29140,1,1,1,1,2010,1200,12,2,0,70
29140,2,2,1,1,2015,1050,12,2,0,60
29678,1,1,1,1,1996,1180,13,2,0,80
29737,2,2,1,1,2016,1950,5,2,0,110
29742,3,1,4,4,1993,210,13,2,0,
29798,1,1,1,1,1993,1300,13,2,0,80
29798,2,1,1,3,1973,480,13,2,0,
29823,1,1,1,4,1978,280,13,2,0,
31220,1,1,1,1,1998,1200,13,2,0,30
31220,2,1,1,1,1988,880,13,2,0,80
31221,1,1,1,1,1981,900,13,2,0,30
31221,2,1,1,3,1987,600,13,2,0,
31246,1,1,1,1,1996,1290,12,2,0,75
31246,2,2,1,1,1996,1215,12,2,0,75
31625,1,1,1,5,1978,700,13,2,0,
31652,1,1,1,1,1994,2000,13,2,0,90
31652,2,1,1,1,1992,1300,13,2,0,70
31665,1,1,1,1,2002,950,13,2,0,25
31665,1,1,1,1,2002,950,13,2,0,25
31671,1,1,1,5,1999,2000,13,2,0,
31724,5,5,1,5,2009,400,13,2,0,
31724,5,5,1,5,2009,1200,13,2,0,
31757,1,1,1,5,1988,780,13,2,0,
31799,1,1,1,1,2008,593,13,2,0,60
31799,2,2,1,1,1995,1400,13,2,0,78
32034,1,1,1,1,1996,1300,13,2,0,70
32044,1,1,1,5,1995,530,13,2,0,
32052,1,1,1,1,1993,1200,13,2,0,70
32052,2,1,2,1,2005,800,13,2,0,50
32057,1,1,1,1,2008,1100,13,2,0,70
32057,2,1,1,1,2004,173,13,2,0,20
32190,1,1,1,1,2005,1400,13,2,0,90
32318,1,1,1,1,1994,400,13,2,0,70
32318,1,1,1,5,1994,500,13,2,0,
32471,1,1,1,1,2001,450,13,2,0,80
32471,1,1,1,5,1987,150,13,2,0,
32524,1,1,1,1,1987,1873,13,2,0,60
32524,1,1,5,7,1993,302,13,2,0,
32524,2,1,1,1,2006,1744,13,2,0,80
32524,2,1,5,7,2006,120,13,2,0,
32556,1,1,1,1,2006,1100,13,2,0,80
32556,1,1,1,5,2006,200,13,2,0,
32668,1,1,1,1,1995,1500,13,2,0,70
32703,1,1,1,1,2011,600,13,2,0,80
32703,1,1,1,4,2009,600,12,2,0,
32709,1,1,1,1,1997,1300,13,2,0,70
32709,2,2,1,1,2001,600,13,2,0,80
32729,1,1,1,1,2015,1306,13,2,0,30
32751,1,1,1,1,1989,800,13,2,0,70
32751,1,1,1,5,2006,600,13,2,0,
32772,2,1,1,1,2002,1500,13,2,0,90
32810,1,1,1,5,2009,650,13,2,0,
32822,1,1,1,1,1994,1700,13,2,0,90
32822,2,1,1,3,2014,400,13,2,0,
32839,1,1,1,1,1999,1500,13,2,0,90
32861,1,1,1,1,2011,1100,13,2,0,80
32861,2,1,1,1,2001,1500,13,2,0,80
33036,1,1,1,1,2000,800,13,2,0,80
33275,1,1,1,1,2001,1600,13,2,0,90
33275,2,1,1,1,2013,1450,13,2,0,75
33303,1,1,2,1,2004,1540,13,2,0,80
33303,2,1,2,1,1999,970,13,2,0,70
33336,2,2,1,1,2003,500,13,2,0,50
33336,2,2,1,5,1996,400,13,2,0,
33348,1,1,1,1,1994,1550,13,2,0,90
33348,2,2,1,3,1996,700,13,2,0,
33455,1,1,3,1,2003,1460,13,2,0,90
33479,1,1,1,1,1993,1700,13,2,0,70
33479,2,2,1,1,2001,1100,13,2,0,70
33644,1,1,1,1,1992,1000,13,2,0,100
33823,1,1,1,1,1985,1200,13,2,0,100
33839,1,1,1,5,2007,590,13,2,0,
33882,1,1,1,1,2010,1249,13,2,0,90
33937,1,1,6,1,2002,100,12,2,0,10
33985,1,1,5,1,2016,1600,3,2,0,30
33994,1,1,1,1,2003,1493,13,2,0,75
34059,1,1,1,1,2011,2990,13,2,0,80
34252,1,1,4,1,2002,1200,13,2,0,100
34732,1,1,1,1,2000,1200,12,2,0,70
34732,2,2,1,4,2008,550,12,2,0,
34732,2,2,3,4,2000,270,12,2,0,
34778,1,1,1,5,2007,400,13,2,0,
34825,1,1,1,1,2014,2000,13,2,0,98
34825,2,1,1,1,2015,1500,13,2,0,95
35005,1,1,1,1,2006,900,13,2,0,70
35005,1,1,1,5,1993,450,13,2,0,
35005,2,1,1,4,1993,400,13,2,0,
35234,1,1,1,1,1997,1440,13,2,0,70
35234,2,2,6,1,2002,300,13,2,0,50
35319,1,1,1,1,1998,1300,13,2,0,100
35319,1,1,1,4,2004,508,13,2,0,
35322,1,1,1,1,1990,800,13,2,0,80
35322,2,2,1,2,1998,200,13,2,0,
35323,1,1,1,2,1989,250,13,2,0,
35323,2,1,1,1,1990,790,12,2,0,90
35326,1,1,1,1,2005,1350,13,2,0,90
35326,2,1,1,1,1995,1400,13,2,0,100
35340,1,1,1,5,2013,520,13,2,0,
35349,1,1,1,5,2016,1050,13,2,0,
35355,1,1,1,5,1998,650,13,2,0,
35370,1,1,1,1,1992,600,13,2,0,80
35372,2,1,1,1,2014,1200,13,2,0,90
35372,3,3,1,4,1980,550,13,2,0,
35374,2,1,1,1,2013,1700,13,2,0,80
35379,1,1,1,1,2006,1400,13,2,0,80
35502,2,1,1,2,2016,460,2,2,0,
35507,2,1,1,1,1997,1500,13,2,0,80
35508,1,1,1,3,2014,500,13,2,0,
35518,1,1,1,1,1998,600,13,2,0,50
35518,1,1,1,5,2009,1300,12,2,0,
35600,1,1,1,5,2016,600,13,2,0,
35640,1,1,1,1,2000,1400,13,2,0,70
35640,2,1,1,1,1993,800,13,2,0,50
35682,1,1,1,1,2006,950,12,2,0,80
35788,1,1,1,1,2011,1370,13,2,0,80
35968,1,1,1,1,1987,1000,12,2,0,70
35968,1,1,1,5,1997,600,12,2,0,
36067,1,1,4,3,1996,1600,12,2,0,
36186,1,1,1,5,1992,480,13,2,0,
36250,1,1,1,5,2008,300,12,2,0,
36321,1,1,1,1,2007,1850,13,2,0,90
36321,3,1,1,3,2000,1050,13,2,0,
36378,1,1,1,1,2007,1250,13,2,0,90
36378,2,2,1,1,2012,800,13,2,0,80
36403,1,1,1,1,1992,880,13,2,0,80
36403,2,1,1,4,1999,540,13,2,0,
36409,2,1,1,1,2015,1300,13,1,21000,80
36443,1,1,1,1,2011,1200,13,2,0,100
36450,1,1,1,1,2010,1570,13,2,0,70
36524,1,1,1,1,1997,1400,13,2,0,70
36524,2,1,1,1,2010,1800,13,2,0,80
36697,1,1,1,1,2016,1500,13,2,0,80
36893,1,1,2,1,2006,1600,13,2,0,80
37001,2,2,1,1,1996,1750,13,2,0,90
37011,1,1,2,1,2008,1800,13,2,0,80
37011,2,2,2,1,2009,1400,13,2,0,80
37521,1,1,1,1,2007,1700,13,2,0,100
37665,3,1,1,2,1987,630,13,2,0,
37677,1,1,1,1,1996,2150,13,2,0,95
37810,1,1,1,1,2011,500,13,2,0,50
38014,2,1,1,1,2010,1800,13,2,0,80
38106,1,1,1,1,1994,1835,13,2,0,90
38272,1,1,1,1,2002,1500,13,2,0,80
38349,1,1,1,1,1999,1900,13,2,0,80
38877,1,1,1,1,2010,1100,13,2,0,70
38885,1,1,1,1,1996,1400,13,2,0,70
38885,2,1,1,1,2012,600,12,2,0,40
38939,1,1,1,5,2011,1000,13,2,0,
