nquest,anmutuo21,anmutuo22,anmutuo23,debgar21_1,debgar22_1,debgar23_1,debgar21_2,debgar22_2,debgar23_2,debgar21_3,debgar22_3,debgar23_3,debm21,debm22,debm23,debpers21,debpers22,debpers23,debrf21,debrf22,debrf23,ltv21,ltv22,ltv23,mutuodu21,mutuodu22,mutuodu23,mutuoin21,mutuoin22,mutuoin23,qualeimm1,qualeimm2,qualeimm3,ratacon21,ratacon22,ratacon23,taxfis21,taxfis22,taxfis23,taxvar21,taxvar22,taxvar23,tdebita21,tdebita22,tdebita23,tipotax21,tipotax22,tipotax23,tmutuoab21,tmutuoab22,tmutuoab23
38135,2008,,,1,,,0,,,0,,,2,,,,,,2,,,45,,,20,,,40000,,,1,,,1,,,,,,2.5,,,30000,,,2,,,1700,,
237003,2014,,,0,,,0,,,1,,,1,,,1,,,2,,,20,,,5,,,35000,,,1,,,,,,4.7,,,,,,18000,,,1,,,7200,,
507544,2011,2013,,0,0,,0,0,,1,1,,2,2,,1,1,,2,2,,25,10,,12,8,,30000,20000,,,,,2,2,,,,,7.5,7,,20000,16000,,2,2,,4000,2500,
513437,2009,,,0,,,1,,,0,,,2,,,,,,2,,,20,,,10,,,90000,,,1,,,,,,4,,,,,,70000,,,1,,,7200,,
611412,2007,,,0,,,1,,,0,,,1,,,,,,2,,,80,,,15,,,180000,,,1,,,,,,2,,,,,,110000,,,1,,,14000,,
620481,2014,,,1,,,0,,,0,,,1,,,,,,2,,,50,,,15,,,70000,,,1,,,2,,,,,,4.5,,,65000,,,2,,,5000,,
673858,2004,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,16,,,80000,,,1,,,,,,2,,,,,,20000,,,1,,,7200,,
676374,2016,,,0,,,0,,,1,,,2,,,2,,,2,,,10,,,5,,,10000,,,1,,,,,,7,,,,,,5000,,,1,,,730,,
683349,2016,,,1,,,0,,,0,,,1,,,,,,2,,,96,,,20,,,225000,,,1,,,2,,,,,,1,,,220000,,,2,,,5000,,
686006,2007,,,0,,,0,,,1,,,1,,,1,,,1,,,80,,,25,,,135000,,,1,,,,,,6,,,,,,100000,,,1,,,9600,,
688287,2003,,,0,,,0,,,1,,,1,,,1,,,2,,,70,,,15,,,75000,,,2,,,,,,1.5,,,,,,3000,,,1,,,3000,,
700410,2011,2004,,0,0,,0,0,,1,1,,1,3,,1,1,,2,3,,70,60,,20,20,,50000,40000,,1,2,,,,,3,3,,,,,45000,20000,,3,3,,2660,3600,
707963,2014,,,1,,,0,,,0,,,1,,,,,,2,,,70,,,30,,,200000,,,2,,,2,,,,,,1.4,,,170000,,,2,,,6000,,
720163,2014,,,0,,,0,,,1,,,1,,,1,,,2,,,100,,,20,,,57000,,,1,,,,,,7.5,,,,,,50000,,,1,,,5000,,
727039,2014,,,1,,,0,,,0,,,1,,,,,,2,,,30,,,10,,,100000,,,1,,,,,,,,,0.7,,,82000,,,3,,,10000,,
735659,2015,,,0,,,1,,,0,,,1,,,,,,2,,,50,,,10,,,50000,,,1,,,,,,2,,,,,,45000,,,1,,,6000,,
805264,2009,,,0,,,1,,,0,,,2,,,,,,2,,,80,,,10,,,50000,,,1,,,,,,1.46,,,,,,18500,,,1,,,6000,,
824734,2011,,,1,,,0,,,0,,,1,,,,,,2,,,70,,,20,,,50000,,,1,,,1,,,,,,3,,,24800,,,2,,,2500,,
852070,2012,,,0,,,1,,,0,,,2,,,,,,2,,,100,,,10,,,55000,,,1,,,,,,4.8,,,,,,36000,,,1,,,7740,,
854862,2006,,,0,,,0,,,1,,,1,,,1,,,2,,,40,,,20,,,80000,,,1,,,,,,3,,,,,,40000,,,1,,,6000,,
856731,2006,,,0,,,0,,,1,,,1,,,1,,,2,,,80,,,20,,,150000,,,1,,,1,,,,,,5,,,60000,,,2,,,6000,,
859321,2010,,,1,,,0,,,0,,,1,,,,,,2,,,50,,,10,,,100000,,,1,,,,,,3,,,,,,18000,,,1,,,6000,,
860127,2007,,,0,,,1,,,0,,,1,,,,,,2,,,55,,,25,,,150000,,,1,,,2,,,,,,2.3,,,112000,,,2,,,5600,,
863239,2007,,,0,,,0,,,1,,,1,,,1,,,2,,,100,,,20,,,155000,,,9,,,1,,,,,,1.95,,,130000,,,2,,,7000,,
864456,2009,,,1,,,1,,,0,,,1,,,,,,2,,,50,,,15,,,300000,,,2,,,2,,,,,,2,,,180000,,,2,,,12000,,
865323,2002,,,1,,,0,,,0,,,1,,,,,,2,,,70,,,15,,,104000,,,1,,,1,,,,,,3,,,6500,,,2,,,8770,,
867462,2010,,,0,,,1,,,0,,,1,,,,,,2,,,60,,,12,,,70000,,,1,,,,,,4.5,,,,,,30000,,,1,,,7700,,
871191,2015,,,0,,,0,,,1,,,2,,,1,,,2,,,100,,,10,,,200000,,,1,,,,,,1,,,,,,150000,,,3,,,30000,,
872963,2016,,,0,,,1,,,0,,,1,,,,,,2,,,80,,,12,,,140000,,,1,,,,,,2,,,,,,130000,,,3,,,13800,,
878873,2007,,,0,,,1,,,0,,,1,,,,,,2,,,95,,,15,,,95000,,,5,,,1,,,,,,1.8,,,46000,,,2,,,7500,,
879257,2007,,,0,,,0,,,1,,,1,,,2,,,2,,,80,,,30,,,135000,,,1,,,1,,,,,,3.5,,,110000,,,2,,,5700,,
880898,2016,,,1,,,0,,,0,,,2,,,,,,2,,,33,,,25,,,120000,,,1,,,,,,1.58,,,,,,120000,,,1,,,3000,,
898191,2007,,,0,,,0,,,1,,,1,,,1,,,2,,,100,,,15,,,50000,,,1,,,,,,1,,,,,,30000,,,1,,,4800,,
901800,1998,,,0,,,0,,,1,,,1,,,2,,,2,,,80,,,25,,,90000,,,1,,,2,,,,,,3,,,30000,,,2,,,5600,,
907570,2006,,,0,,,1,,,0,,,1,,,,,,2,,,100,,,30,,,50000,,,1,,,2,,,,,,3.5,,,45000,,,2,,,6000,,
908619,2011,,,0,,,0,,,1,,,2,,,1,,,2,,,100,,,6,,,13500,,,1,,,,,,6.5,,,,,,2100,,,1,,,1920,,
909259,2016,,,1,,,0,,,0,,,2,,,,,,2,,,25,,,20,,,40000,,,6,,,,,,2.5,,,,,,30000,,,1,,,1500,,
910542,2008,,,0,,,1,,,0,,,1,,,,,,2,,,80,,,20,,,120000,,,1,,,,,,2.7,,,,,,70000,,,1,,,4410,,
910561,2009,,,0,,,1,,,0,,,3,,,,,,3,,,60,,,30,,,30000,,,1,,,1,,,,,,2.6,,,20000,,,2,,,5760,,
910676,2016,2016,,0,0,,1,1,,0,0,,2,2,,,,,2,2,,30,30,,15,15,,50000,30000,,1,1,,1,1,,,,,2,2,,50000,25000,,2,2,,500,1000,
911607,2006,,,0,,,1,,,0,,,1,,,,,,2,,,100,,,18,,,165000,,,1,,,1,,,,,,1.85,,,81000,,,2,,,13200,,
912051,2010,,,1,,,0,,,0,,,1,,,,,,2,,,80,,,10,,,150000,,,2,,,,,,2,,,,,,66000,,,1,,,16800,,
