nquest,anmutuo31,anmutuo32,anmutuo33,anmutuo34,debgar31_1,debgar32_1,debgar33_1,debgar34_1,debgar31_2,debgar32_2,debgar33_2,debgar34_2,debgar31_3,debgar32_3,debgar33_3,debgar34_3,debgar31_4,debgar32_4,debgar33_4,debgar34_4,debgar31_5,debgar32_5,debgar33_5,debgar34_5,debm31,debm32,debm33,debm34,debpers31,debpers32,debpers33,debpers34,debrf31,debrf32,debrf33,debrf34,mutuodu31,mutuodu32,mutuodu33,mutuodu34,mutuoin31,mutuoin32,mutuoin33,mutuoin34,taeg11,taeg12,taeg13,taeg14,tdebita31,tdebita32,tdebita33,tdebita34,tipotax31,tipotax32,tipotax33,tipotax34,tmutuoab31,tmutuoab32,tmutuoab33,tmutuoab34
2886,2016,,,,0,,,,0,,,,0,,,,0,,,,1,,,,1,,,,,,,,2,,,,1,,,,2500,,,,8,,,,1200,,,,1,,,,1300,,,
24194,2013,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,3,,,,30000,,,,4,,,,0,,,,1,,,,9600,,,
27739,2016,,,,0,,,,0,,,,0,,,,0,,,,1,,,,2,,,,,,,,2,,,,1,,,,2000,,,,7,,,,500,,,,1,,,,1500,,,
27912,2016,2016,2016,,1,1,0,,0,0,0,,0,0,0,,0,0,1,,0,0,0,,1,2,2,,,,1,,1,1,1,,4,1,1,,13600,1250,1000,,2,,,,10200,1250,1000,,1,3,3,,3400,1250,1000,
29742,2014,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,4,,,,22000,,,,5,,,,10000,,,,1,,,,7000,,,
29823,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,1,,,,3,,,,3000,,,,7,,,,2800,,,,1,,,,1200,,,
31625,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,1,,,,2,,,,2,,,,8000,,,,5,,,,6000,,,,2,,,,1200,,,
31695,2015,2016,,,1,1,,,0,0,,,0,0,,,0,0,,,0,0,,,1,2,,,,,,,2,2,,,4,2,,,13000,600,,,0.4,,,,8500,300,,,1,3,,,3600,1000,,
32734,2016,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,7,,,,18000,,,,6.7,,,,17600,,,,1,,,,230,,,
32887,2013,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,1,,,,2,,,,5,,,,25000,,,,8.7,,,,12000,,,,1,,,,6000,,,
35234,2014,2016,,,0,0,,,0,0,,,0,0,,,1,1,,,0,0,,,1,4,,,1,1,,,1,2,,,3,5,,,6000,9000,,,0,9,,,1260,8000,,,1,1,,,2160,2000,,
35507,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,5,,,,12000,,,,,,,,7000,,,,3,,,,5500,,,
36893,2012,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,1,,,,2,,,,5,,,,5000,,,,5.9,,,,1000,,,,1,,,,1000,,,
38095,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,4,,,,12000,,,,6,,,,7000,,,,1,,,,4200,,,
38885,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,2,,,,1,,,,530,,,,0,,,,50,,,,2,,,,600,,,
39056,2014,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,2,,,,5,,,,7000,,,,8,,,,4000,,,,2,,,,1700,,,
