nquest,anmutuo41f,anmutuo42f,debgar41f_1,debgar42f_1,debgar41f_2,debgar42f_2,debgar41f_3,debgar42f_3,debgar41f_4,debgar42f_4,debm41f,debm42f,debrf41f,debrf42f,mutuodu41f,mutuodu42f,mutuoin41f,mutuoin42f,taxdeb41f,taxdeb42f,tdebita41f,tdebita42f,tmutuoaB41f,tmutuoaB42f
32729,2010,,1,,0,,0,,0,,1,,1,,10,,100000,,2.3,,64000,,11500,
33335,2010,2012,0,0,0,0,0,0,1,1,1,1,2,2,8,10,22000,50000,4,6.8,4000,20000,3200,7000
860525,2016,,1,,0,,0,,0,,1,,2,,20,,160000,,2.75,,140000,,7200,
908973,2006,,0,,0,,0,,1,,1,,1,,20,,25000,,7.5,,11000,,1300,
909259,2016,,0,,1,,0,,0,,1,,2,,20,,1500000,,2.5,,1500000,,75000,
914509,2012,2016,0,0,1,1,0,0,0,0,1,1,2,2,6,10,71000,390000,2.5,2.5,10000,390000,11000,33000
915005,2016,,1,,0,,0,,0,,1,,2,,20,,80000,,2,,80000,,2000,
915885,2015,,0,,0,,0,,1,,2,,2,,,,10000,,3.5,,8000,,2000,
918149,2007,2015,1,0,0,0,0,1,0,0,1,2,1,2,20,,50000,5000,5,7,34000,2500,3500,3000
928483,2016,,0,,0,,1,,0,,1,,2,,5,,50000,,6.5,,40000,,12000,
