nquest,nord,anmutuo41i,anmutuo42i,anmutuo43i,anmutuo44i,debgar41i_1,debgar42i_1,debgar43i_1,debgar44i_1,debgar41i_2,debgar42i_2,debgar43i_2,debgar44i_2,debgar41i_3,debgar42i_3,debgar43i_3,debgar44i_3,debgar41i_4,debgar42i_4,debgar43i_4,debgar44i_4,debm41i,debm42i,debm43i,debm44i,debrf41i,debrf42i,debrf43i,debrf44i,mutuodu41i,mutuodu42i,mutuodu43i,mutuodu44i,mutuoin41i,mutuoin42i,mutuoin43i,mutuoin44i,taxdeb41i,taxdeb42i,taxdeb43i,taxdeb44i,tdebita41i,tdebita42i,tdebita43i,tdebita44i,tmutuoab41i,tmutuoab42i,tmutuoab43i,tmutuoab44i
32729,1,2010,,,,1,,,,0,,,,0,,,,0,,,,1,,,,1,,,,10,,,,100000,,,,2.3,,,,64000,,,,11500,,,
35508,1,2003,2011,2015,2015,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,15,30,10,6,80000,200000,17000,30000,7,3,9,3,30000,160000,14400,24000,7600,8400,2600,6000
36250,2,2014,,,,1,,,,0,,,,0,,,,0,,,,1,,,,2,,,,10,,,,60000,,,,3,,,,31000,,,,3500,,,
39227,1,2007,2013,2011,,0,0,0,,0,0,0,,0,0,0,,1,1,1,,1,2,2,,2,2,2,,20,,,,100000,20000,15000,,3,3,4,,50000,6000,7000,,5300,400,500,
624781,1,2011,,,,0,,,,0,,,,1,,,,0,,,,1,,,,2,,,,5,,,,30000,,,,10,,,,700,,,,7000,,,
671152,2,2016,2016,,,0,0,,,1,1,,,0,0,,,0,0,,,1,2,,,1,1,,,10,,,,100000,100000,,,5,5,,,90000,90000,,,10000,10000,,
682812,1,2012,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,4,,,,5000,,,,4,,,,250,,,,3000,,,
683373,1,2003,,,,1,,,,0,,,,0,,,,0,,,,1,,,,2,,,,15,,,,50000,,,,3,,,,9000,,,,4400,,,
683377,1,2002,2014,,,0,0,,,0,0,,,0,0,,,1,1,,,1,1,,,2,2,,,25,3,,,160000,14000,,,2,4,,,70000,840,,,6600,5040,,
683469,1,2008,2015,,,1,0,,,0,0,,,0,0,,,0,1,,,1,2,,,1,1,,,20,,,,125000,20000,,,6.3,2.3,,,88000,8000,,,7500,13500,,
686006,1,2015,2015,,,0,0,,,1,0,,,0,0,,,0,1,,,1,2,,,1,2,,,7,,,,60000,7000,,,7.5,6,,,50000,5000,,,9200,4000,,
688277,1,2015,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,3,,,,5000,,,,4.5,,,,1000,,,,235,,,
700410,1,2016,,,,0,,,,0,,,,0,,,,1,,,,2,,,,2,,,,,,,,10000,,,,2,,,,5000,,,,5200,,,
701536,1,2013,2013,,,0,0,,,0,0,,,0,0,,,1,1,,,1,1,,,2,2,,,10,7,,,23000,15000,,,6,9,,,15000,10000,,,3288,3340,,
707963,1,2014,,,,1,,,,0,,,,0,,,,0,,,,1,,,,2,,,,30,,,,200000,,,,3.5,,,,150000,,,,5000,,,
710165,1,2016,,,,0,,,,0,,,,0,,,,1,,,,2,,,,1,,,,,,,,15000,,,,1.3,,,,7000,,,,11000,,,
720138,1,2016,,,,1,,,,0,,,,0,,,,0,,,,1,,,,1,,,,10,,,,10000,,,,5,,,,9200,,,,800,,,
732601,1,2012,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,18,,,,330000,,,,5.49,,,,184772,,,,21228,,,
807142,1,2016,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,5,,,,40000,,,,1.1,,,,36000,,,,4000,,,
819125,1,2015,,,,0,,,,0,,,,0,,,,1,,,,2,,,,2,,,,,,,,5000,,,,5,,,,2500,,,,1400,,,
820697,1,2010,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,10,,,,10000,,,,9.4,,,,8000,,,,2280,,,
824824,1,2005,,,,0,,,,1,,,,0,,,,0,,,,1,,,,2,,,,15,,,,105000,,,,7,,,,38400,,,,9600,,,
859459,2,2016,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,4,,,,6000,,,,2,,,,6000,,,,220,,,
861471,1,2016,,,,1,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,6000,,,,2,,,,6000,,,,3000,,,
864456,1,2009,,,,1,,,,1,,,,0,,,,0,,,,1,,,,2,,,,15,,,,300000,,,,2,,,,180000,,,,12000,,,
868478,3,2015,,,,1,,,,0,,,,0,,,,0,,,,1,,,,3,,,,10,,,,70000,,,,4.5,,,,50000,,,,5400,,,
872450,1,2004,,,,1,,,,0,,,,0,,,,0,,,,1,,,,2,,,,15,,,,100000,,,,3,,,,14000,,,,7200,,,
873809,2,2002,,,,1,,,,0,,,,0,,,,0,,,,1,,,,2,,,,18,,,,50000,,,,2,,,,10000,,,,4000,,,
874756,1,2015,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,5,,,,35000,,,,5,,,,28000,,,,550,,,
876523,1,2015,,,,0,,,,0,,,,0,,,,1,,,,2,,,,2,,,,,,,,10000,,,,3.5,,,,2000,,,,4200,,,
878811,1,2014,,,,0,,,,0,,,,1,,,,0,,,,1,,,,2,,,,5,,,,16000,,,,7.5,,,,10000,,,,4400,,,
880861,1,2016,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,5,,,,40000,,,,7.5,,,,38000,,,,2000,,,
882653,2,2015,,,,0,,,,0,,,,0,,,,1,,,,2,,,,1,,,,,,,,10000,,,,3,,,,8000,,,,800,,,
886427,1,2014,2016,2016,,0,0,0,,1,0,0,,0,0,0,,0,1,1,,1,2,1,,1,2,2,,10,,4,,220000,15000,50000,,7,6,6,,180000,10000,45000,,27000,5000,5000,
887770,1,2015,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,3,,,,40000,,,,3,,,,30000,,,,12000,,,
903018,2,2016,,,,0,,,,0,,,,0,,,,1,,,,2,,,,2,,,,,,,,1500,,,,3,,,,0,,,,1500,,,
907692,2,2016,,,,0,,,,0,,,,0,,,,1,,,,1,,,,1,,,,3,,,,45000,,,,4.76,,,,27000,,,,18000,,,
909705,1,2016,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,10,,,,50000,,,,7.5,,,,47000,,,,5000,,,
910274,1,2015,2014,2013,,0,0,0,,1,0,0,,0,0,0,,0,1,1,,1,1,1,,2,2,2,,14,10,10,,1200000,300000,200000,,2,2,2,,1080000,240000,20000,,105600,38000,180000,
910542,1,2014,2015,2016,,0,0,0,,0,0,0,,1,0,0,,0,1,1,,1,1,1,,2,2,2,,5,5,3,,30000,25000,20000,,2.5,3,1.5,,18000,17000,15000,,6450,5280,5200,
911366,1,2006,2016,,,1,0,,,0,0,,,0,0,,,0,1,,,1,2,,,2,1,,,25,,,,170000,7500,,,4,6.7,,,79000,644,,,6900,7100,,
911913,3,2016,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,4,,,,10000,,,,2,,,,9300,,,,213,,,
912368,2,2015,,,,1,,,,0,,,,0,,,,0,,,,2,,,,2,,,,,,,,30000,,,,3,,,,10000,,,,10000,,,
912960,1,2015,2015,,,0,0,,,0,0,,,1,1,,,0,0,,,1,1,,,2,2,,,6,10,,,10000,8700,,,5,7,,,8000,6000,,,2000,215,,
