nquest,anmutuo11,anmutuo12,debgar11_1,debgar12_1,debgar11_2,debgar12_2,debgar11_3,debgar12_3,debm11,debm12,debpers11,debpers12,debrf11,debrf12,ltv11,ltv12,mutuodu11,mutuodu12,mutuoin11,mutuoin12,ratacon11,ratacon12,rifinanz11,rifinanz12,rippag11,rippag12,rippagqua11,rippagqua12,sospecome11,sospecome12,sospens11,sospens12,stesmut11,stesmut12,taxfis11,taxfis12,taxvar11,taxvar12,tipotax11,tipotax12,tmutuoab11,tmutuoab12,whytipo11,whytipo12,tdebita11,tdebita12
27734,2014,,0,,0,,1,,2,,1,,2,,10,,2,,3175,,,,2,,,,,,,,2,,,,7,,,,1,,1632,,3,,136,
31860,2013,,0,,0,,1,,2,,1,,2,,15,,7,,20000,,,,2,,,,,,,,2,,,,6.7,,,,1,,3000,,4,,14000,
33303,2015,,1,,0,,0,,2,,,,2,,10,,10,,25000,,,,2,,,,,,,,2,,,,2,,,,1,,3600,,1,,20000,
37521,2003,,1,,0,,0,,1,,,,2,,50,,20,,110000,,,,2,,,,,,,,2,,,,3.8,,,,1,,1570,,4,,9000,
37665,2000,,1,,0,,0,,1,,,,2,,85,,30,,200000,,1,,2,,,,,,,,2,,,,,,3.25,,2,,9600,,3,,180000,
38272,2004,,1,,0,,0,,2,,,,2,,50,,15,,120000,,,,2,,,,,,,,2,,,,5,,,,1,,10000,,4,,25000,
38939,2016,,1,,0,,0,,2,,,,2,,100,,10,,20000,,,,2,,,,,,,,2,,,,2,,,,1,,2400,,3,,17600,
51544,2007,,1,,0,,0,,2,,,,2,,40,,15,,80000,,2,,1,,,,,,,,2,,1,,,,1.5,,2,,6000,,1,,25000,
53520,2002,,1,,0,,0,,1,,,,2,,100,,15,,49000,,,,2,,,,,,,,2,,,,5,,,,1,,3400,,1,,1200,
91081,2001,,1,,0,,0,,1,,,,2,,90,,20,,110000,,2,,2,,,,,,,,2,,,,,,2,,2,,9500,,4,,45000,
501068,2007,,1,,0,,0,,1,,,,2,,100,,20,,80000,,2,,2,,1,,6,,2,,1,,,,,,2,,2,,3600,,1,,50000,
503560,2015,,0,,0,,1,,1,,1,,2,,80,,25,,85000,,1,,2,,,,,,,,2,,,,,,3.5,,2,,5000,,4,,80000,
504395,2003,,1,,0,,0,,2,,,,1,,50,,15,,100000,,1,,2,,,,,,,,2,,,,,,2.1,,2,,8000,,4,,15000,
