nquest,TDEBITC,TDEBITD,TDEBITE,TDEBITF,TDEBITG,PFIMM,PFCONS,PFAZ,PFCARTE,PFCC,RATADEB_RES,RATADEB_AIMM,RATADEB_FAM,RATADEB,RATADEB_PROF,PFCOLL,PFNOCOLL
173,0,0,0,0,0,0,0,0,0,0,,,,,,,
375,0,0,0,0,0,0,0,0,0,0,,,,,,,
633,0,0,0,0,0,0,0,0,0,0,,,,,,,
923,0,0,0,0,0,0,0,0,0,0,,,,,,,
1367,0,0,0,0,0,0,0,0,0,0,,,,,,,
1763,0,0,0,0,0,0,0,0,0,0,,,,,,,
1946,0,0,0,0,0,0,0,0,0,0,,,,,,,
2886,1200,0,0,0,0,0,1200,0,0,0,,,1300,1300,,0,1200
3717,0,0,0,0,0,0,0,0,0,0,,,,,,,
5416,0,0,0,0,0,0,0,0,0,0,,,,,,,
7886,0,0,0,0,0,0,0,0,0,0,,,,,,,
11972,0,0,0,0,0,0,0,0,0,0,,,,,,,
20297,0,0,0,0,0,0,0,0,0,0,,,,,,,
20711,0,0,0,0,0,0,0,0,0,0,,,,,,,
20837,0,0,0,0,0,0,0,0,0,0,,,,,,,
22099,0,0,0,0,0,0,0,0,0,0,,,,,,,
22169,0,0,0,0,0,0,0,0,0,0,,,,,,,
22173,0,0,0,0,0,0,0,0,0,0,,,,,,,
22208,0,0,0,0,0,0,0,0,0,0,,,,,,,
22276,0,0,0,0,0,0,0,0,0,0,,,,,,,
22286,0,0,0,0,0,0,0,0,0,0,,,,,,,
22624,0,0,0,0,0,0,0,0,0,0,,,,,,,
22657,0,0,0,0,0,0,0,0,0,0,,,,,,,
22996,0,0,0,0,0,0,0,0,0,0,,,,,,,
23370,0,0,0,0,0,0,0,0,0,0,,,,,,,
23490,0,0,0,0,0,0,0,0,0,0,,,,,,,
23797,0,0,0,0,0,0,0,0,1306.3866057,0,,,,,,0,1306.3866057
23821,0,0,0,0,0,0,0,0,0,0,,,,,,,
23823,0,0,0,0,0,0,0,0,0,0,,,,,,,
24147,0,0,0,0,0,0,0,0,0,0,,,,,,,
24149,0,0,0,0,0,0,0,0,0,0,,,,,,,
24194,0,0,0,0,0,0,0,0,0,0,,,9600,9600,,0,0
24382,0,0,0,0,0,0,0,0,0,0,,,,,,,
24616,0,0,0,0,0,0,0,0,0,0,,,,,,,
24760,0,0,0,0,0,0,0,0,0,0,,,,,,,
24764,0,0,0,0,0,0,0,0,0,0,,,,,,,
24809,0,0,0,0,0,0,0,0,0,0,,,,,,,
24853,0,0,0,0,0,0,0,0,0,0,,,,,,,
25007,0,0,0,0,0,0,0,0,0,0,,,,,,,
26349,0,0,0,0,0,0,0,0,0,0,,,,,,,
27109,0,0,0,0,0,0,0,0,0,0,,,,,,,
27114,0,0,0,0,0,0,0,0,0,0,,,,,,,
27116,0,0,0,0,0,0,0,0,0,0,,,,,,,
27157,0,0,0,0,0,0,0,0,0,0,,,,,,,
27238,0,0,0,0,0,0,0,0,0,0,,,,,,,
27509,0,0,0,0,0,0,0,0,0,0,,,,,,,
27730,0,0,0,0,0,0,0,0,0,0,,,,,,,
27734,0,0,0,0,0,136,0,0,0,0,1632,,,1632,,0,136
27739,0,500,0,0,0,0,500,0,0,0,,,1500,1500,,0,500
27742,0,0,0,0,0,0,0,0,0,0,,,,,,,
27912,10200,2250,0,0,0,0,12450,0,0,0,,,5650,5650,,11450,1000
27923,0,0,0,0,0,0,0,0,0,0,,,,,,,
27947,0,0,0,0,0,0,0,0,0,0,,,,,,,
28362,0,0,0,0,0,0,0,0,0,0,,,,,,,
28441,0,0,0,0,0,0,0,0,0,0,,,,,,,
28802,0,0,0,0,0,0,0,3000,0,0,,,,,,,
28859,0,0,0,0,0,0,0,0,0,0,,,,,,,
28992,0,0,0,0,0,0,0,0,0,0,,,,,,,
29140,0,0,0,0,0,0,0,0,0,0,,,,,,,
29678,0,0,0,0,0,0,0,0,0,0,,,,,,,
29680,0,0,0,0,0,0,0,0,0,0,,,,,,,
29737,0,0,0,0,0,0,0,0,0,0,,,,,,,
29742,10000,0,0,0,0,0,10000,0,0,2000,,,7000,7000,,10000,2000
29798,0,0,0,0,0,0,0,0,0,0,,,,,,,
29823,0,2800,0,0,0,0,2800,0,0,0,,,1200,1200,,0,2800
31093,0,0,0,0,0,0,0,0,0,0,,,,,,,
31220,0,0,0,0,0,0,0,0,0,0,,,,,,,
31221,0,0,0,0,0,0,0,0,0,0,,,,,,,
31246,0,0,0,0,0,0,0,0,0,0,,,,,,,
31625,0,0,0,6000,0,0,6000,0,0,0,,,1200,1200,,0,6000
31652,0,0,0,0,0,0,0,0,0,0,,,,,,,
31665,0,0,0,0,0,0,0,0,0,0,,,,,,,
31671,0,0,0,0,0,0,0,0,0,0,,,,,,,
31695,8500,300,0,0,0,0,8800,0,0,0,,,4600,4600,,8800,0
31724,0,0,0,0,0,0,0,0,0,0,,,,,,,
31757,0,0,0,0,0,0,0,0,0,0,,,,,,,
31799,0,0,0,0,0,0,0,0,0,0,,,,,,,
31860,0,0,0,0,0,14000,0,0,0,0,3000,,,3000,,0,14000
32034,0,0,0,0,0,0,0,0,0,0,,,,,,,
32044,0,0,0,0,0,0,0,0,0,0,,,,,,,
32052,0,0,0,0,0,0,0,0,0,0,,,,,,,
32057,0,0,0,0,0,0,0,0,0,0,,,,,,,
32190,0,0,0,0,0,0,0,0,0,0,,,,,,,
32318,0,0,0,0,0,0,0,0,0,0,,,,,,,
32320,0,0,0,0,0,0,0,0,0,0,,,,,,,
32471,0,0,0,0,0,0,0,0,0,0,,,,,,,
32524,0,0,0,0,0,0,0,0,0,0,,,,,,,
32556,0,0,0,0,0,0,0,0,0,0,,,,,,,
32668,0,0,0,0,0,0,0,0,0,0,,,,,,,
32703,0,0,0,0,0,0,0,0,0,0,,,,,,,
32709,0,0,0,0,0,0,0,0,0,0,,,,,,,
32729,0,0,0,0,0,0,0,128000,0,5000,,,,23000,23000,128000,5000
32734,17600,0,0,0,0,0,17600,0,0,1000,,,230,230,,17600,1000
32751,0,0,0,0,0,0,0,0,0,0,,,,,,,
32765,0,0,0,0,0,0,0,0,0,0,,,,,,,
32772,0,0,0,0,0,0,0,0,0,0,,,,,,,
32810,0,0,0,0,0,0,0,0,0,0,,,,,,,
32822,0,0,0,0,0,0,0,0,0,0,,,,,,,
32839,0,0,0,0,0,0,0,0,0,0,,,,,,,
32861,0,0,0,0,0,0,0,0,0,0,,,,,,,
32887,0,0,0,12000,0,0,12000,0,0,0,,,6000,6000,,0,12000
33036,0,0,0,0,0,0,0,0,0,0,,,,,,,
33038,0,0,0,0,0,0,0,0,0,0,,,,,,,
33275,0,0,0,0,0,0,0,0,0,0,,,,,,,
33303,0,0,0,0,0,20000,0,0,0,0,3600,,,3600,,20000,0
33335,0,0,0,0,0,0,0,24000,0,0,,,,10200,10200,0,24000
33336,0,0,0,0,0,0,0,0,0,0,,,,,,,
33348,0,0,0,0,0,0,0,0,0,0,,,,,,,
33451,0,0,0,0,0,0,0,0,0,0,,,,,,,
33455,0,0,0,0,0,0,0,0,0,0,,,,,,,
33479,0,0,0,0,0,0,0,0,0,0,,,,,,,
33644,0,0,0,0,0,0,0,0,0,0,,,,,,,
33823,0,0,0,0,0,0,0,0,0,0,,,,,,,
33839,0,0,0,0,0,0,0,0,0,0,,,,,,,
33877,0,0,0,0,0,0,0,0,0,0,,,,,,,
33882,0,0,0,0,0,0,0,0,0,0,,,,,,,
33937,0,0,0,0,0,0,0,0,0,0,,,,,,,
33985,0,0,0,0,0,0,0,0,0,0,,,,,,,
33994,0,0,0,0,0,0,0,0,0,0,,,,,,,
34059,0,0,0,0,0,0,0,0,0,0,,,,,,,
34252,0,0,0,0,0,0,0,0,0,0,,,,,,,
34732,0,0,0,0,0,0,0,0,0,0,,,,,,,
34778,0,0,0,0,0,0,0,0,0,0,,,,,,,
34825,0,0,0,0,0,0,0,0,0,0,,,,,,,
34900,0,0,0,0,0,0,0,0,0,0,,,,,,,
35005,0,0,0,0,0,0,0,0,0,0,,,,,,,
35022,0,0,0,0,0,0,0,0,0,0,,,,,,,
35032,0,0,0,0,0,0,0,0,0,0,,,,,,,
35234,1260,0,0,8000,0,0,9260,0,0,0,,,4160,4160,,0,9260
35319,0,0,0,0,0,0,0,0,0,0,,,,,,,
35322,0,0,0,0,0,0,0,0,0,0,,,,,,,
35323,0,0,0,0,0,0,0,0,0,0,,,,,,,
