nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,mcontrib,occnow,problav1,cerc2,problav2,finelav,etalav2,etapen,coppu,coppmax,coppmin,prevcom,coppip
173,1,1,2,,,23,1,34,,2,,,,2005,,,,,,,
375,1,1,2,,,50,1,15,,2,,,,1986,,,,,,,
633,1,4,2,,1,20,1,20,,2,,,,1991,,,,,,,
923,1,0,,,,,,,,2,,,,,,,,,,,
1367,1,1,2,,,15,1,30,,2,,,,1987,,,,,,,
1367,2,1,2,,,20,1,15,,2,,,,1975,,,,,,,
1763,1,3,1,10,1,21,1,28,,2,,,,2014,,,,,,,
1763,2,1,1,10,,17,1,41,,2,,1,,2016,,,,,,2,
1946,1,0,,,,,,,,2,,,,,,,,,,,
2886,1,1,2,,,27,1,35,,2,,,,2010,,,,,,,
2886,2,1,2,,,22,1,42,,2,,,,2015,,,,,,,
2886,3,0,,,,,,,,2,,1,,,,,,,,,
3717,1,1,1,3,,20,2,,,2,,2,,2000,,,,,,,
5416,1,3,2,,1,16,1,24,,1,100,2,,,40,65,70,70,70,2,
5416,2,2,2,,1,19,1,14,,1,,2,,,25,,,,,2,
5416,3,1,2,,,18,1,6,,1,,2,,,,,,,,2,
5416,4,3,2,,1,17,1,12,,1,,2,,,33,,,,,2,
5416,5,,,,,,,,,,,,,,,,,,,,
7886,1,1,2,,,20,1,35,,2,,,,2007,,,,,,,
7886,2,1,2,,,20,2,,,1,100,2,,,,63,20,20,5,3,
11972,1,1,2,,,23,1,35,,2,,,,2010,,,,,,,
11972,2,2,2,,1,23,1,35,,2,,,,2009,,,,,,,
20297,1,2,2,,1,14,1,39,,2,,,,2013,,,,,,,
20297,2,1,2,,,30,1,5,,1,,2,,,,,,,,2,
20711,1,0,,,,,,,,2,,2,,,,,,,,,
20711,2,1,2,,,15,1,37,,2,,,,1997,,,,,,,
20837,1,2,2,,1,18,1,35,,2,,,,1986,,,,,,,
20837,2,1,2,,,18,1,15,,2,,,,1957,,,,,,,
