nquest,quest,nquestp,stupcf,citpcf,stumcf,citmcf,stupco,citpco,stumco,citmco,vitgen,ngen,figli,nfigli,vitf,nfratsore,parnoit,ANCONV,contint,NCOMP,CAPI
173,3,,2,1,2,1,,,,,2,,1,2,1,3,2,,1,1,1
375,3,,3,1,1,1,,,,,2,,2,,1,1,,,1,1,1
633,3,,2,1,2,1,,,,,2,,1,1,2,,,,1,1,1
923,3,,1,1,1,1,,,,,2,,1,4,1,1,,,1,1,1
1367,3,,1,1,1,1,1,1,1,1,2,,1,3,1,4,,1953,1,2,1
1763,3,,1,1,1,1,1,1,1,1,1,1,1,2,1,2,,1971,2,2,1
1946,3,,4,1,2,1,,,,,2,,2,,1,5,2,,4,1,1
2886,3,,2,1,1,1,2,1,2,1,1,1,1,2,1,5,,1976,1,3,1
3717,3,,3,1,2,1,,,,,2,,2,,1,1,2,,2,1,1
5416,3,,2,1,2,1,,,,,2,,2,,2,,2,,5,5,1
7886,3,,7,1,7,1,7,1,7,1,2,,2,,2,,,1986,4,2,1
11972,3,,1,1,2,1,2,1,2,1,2,,1,2,1,6,,1966,1,2,1
20297,3,,2,1,2,1,2,2,2,2,1,2,1,2,1,6,,2007,2,2,1
20711,3,,2,1,2,1,2,1,2,1,2,,1,5,1,9,,1970,2,2,1
20837,3,,2,1,3,1,1,1,1,1,2,,1,3,1,1,,1956,2,2,1
22099,3,,2,1,1,1,2,1,2,1,2,,1,3,1,2,,1981,3,2,1
22169,3,,1,1,1,1,1,1,1,1,2,,1,2,1,2,,1964,4,2,1
22173,3,,1,1,1,1,1,1,1,1,2,,1,1,2,,,1970,1,4,1
22208,3,,2,1,1,1,,,,,2,,2,,1,2,,,2,1,1
22276,3,,2,1,2,1,,,,,1,1,2,,2,,2,,1,2,1
22286,3,,2,1,2,1,2,1,2,1,2,,2,,2,,,1976,1,2,1
22624,3,,1,1,1,1,1,1,1,1,1,1,1,2,1,2,,1980,3,4,1
22657,3,,2,1,2,1,2,1,2,1,2,,1,1,1,6,,1973,2,2,1
22996,3,,2,1,2,1,2,1,2,1,2,,1,2,2,,,1961,1,2,1
23370,3,,2,1,2,1,2,1,3,1,2,,1,3,1,4,,1963,2,2,1
23490,3,,2,1,2,1,,,,,2,,2,,1,1,2,,2,1,1
23797,3,,4,1,2,1,2,1,2,1,2,,1,2,1,11,,1984,2,2,1
23821,3,,1,1,1,1,,,,,2,,1,4,1,6,,,1,2,0
23823,3,,2,1,2,1,,,,,2,,1,2,1,4,,,1,2,0
24147,3,,4,1,4,1,3,1,2,1,1,1,1,2,1,3,,1978,1,2,1
24149,3,,2,1,2,1,,,,,2,,2,,2,,,,1,1,1
24194,3,,2,1,1,1,3,1,2,1,1,3,2,,1,3,,1980,3,4,1
24382,3,,1,1,1,1,,,,,2,,2,,2,,,,1,1,1
24616,3,,1,1,2,1,3,1,3,1,2,,2,,2,,,1964,2,2,1
24760,3,,2,1,2,1,,,,,2,,2,,2,,,,1,1,1
24764,3,,2,1,2,1,2,1,2,1,1,2,2,,1,9,,1989,1,5,1
24809,3,,2,1,2,1,1,1,1,1,2,,1,2,1,6,,1960,2,2,1
24853,3,,2,1,2,1,4,1,2,1,1,1,1,2,1,4,,1985,2,2,1
25007,3,,3,1,3,1,,,,,2,,1,3,1,2,,,1,1,1
26349,3,,2,1,2,1,,,,,2,,1,1,2,,,,1,1,1
27109,3,,1,1,1,1,,,,,2,,1,1,2,,,,4,1,1
27114,3,,1,1,1,1,,,,,2,,1,2,1,3,,,2,1,1
27116,3,,2,1,2,1,,,,,2,,1,1,1,1,,,3,1,1
27157,3,,1,1,3,1,3,1,3,1,1,2,2,,1,4,,1986,2,4,1
27238,3,,1,1,1,1,2,1,2,1,1,3,1,2,1,5,,1977,4,2,1
27509,3,,1,1,1,1,,,,,2,,2,,2,,,,3,1,1
27730,3,,2,1,1,1,1,1,1,1,2,,1,1,1,5,,1970,2,4,1
27734,3,,1,1,2,1,3,1,1,1,2,,2,,1,11,,1971,4,2,1
27739,3,,1,1,1,1,,,,,2,,1,4,1,2,,,4,1,1
27742,3,,1,1,2,1,,,,,2,,1,2,1,1,,,2,1,1
27912,3,,2,1,2,1,2,1,2,1,2,,1,1,1,5,,1979,1,3,1
27923,3,,2,1,2,1,2,1,2,1,2,,2,,1,9,,1978,2,4,1
27947,3,,1,1,2,1,2,1,1,1,2,,1,3,1,2,,1958,1,2,1
28362,3,,2,1,2,1,,,,,2,,2,,2,,,,1,1,1
28441,3,,2,1,2,1,2,1,2,1,2,,2,,2,,,1978,2,2,1
28802,3,,4,1,3,1,2,1,3,1,1,1,1,3,1,1,,1981,2,2,1
28859,3,,2,1,1,1,,,,,2,,1,2,1,1,,,11,1,1
28992,3,,2,1,2,1,2,1,2,1,2,,1,3,1,6,,1962,2,2,1
29140,3,,2,1,2,1,2,1,2,1,2,,2,,2,,,1978,3,2,1
29678,3,,1,1,1,1,1,1,1,1,2,,2,,1,1,,1957,2,2,1
29680,3,,3,1,2,1,2,1,2,1,1,3,2,,1,4,,1989,1,4,1
29737,3,,3,1,4,1,4,1,2,1,2,,2,,1,4,,1984,2,2,1
29742,3,,2,1,2,1,2,1,2,1,2,,1,1,1,15,,1974,3,4,1
29798,3,,2,1,2,1,2,1,2,1,2,,1,3,1,16,,1960,2,2,1
29823,3,,3,1,2,1,2,1,1,1,1,1,2,,1,2,,1993,1,6,1
