nquest,varred,varreda,varredb,aspred
173,2,,,1
375,2,,,2
633,2,,,2
923,4,,,2
1367,2,,,2
1763,2,,,1
1946,2,,,1
2886,2,,,1
3717,3,,5000,1
5416,2,,,1
7886,2,,,2
11972,2,,,1
20297,2,,,1
20711,2,,,1
20837,2,,,1
22099,2,,,2
22169,3,,500,1
22173,2,,,2
22208,2,,,1
22276,2,,,3
22286,2,,,2
22624,2,,,4
22657,2,,,2
22996,2,,,1
23370,2,,,1
23490,2,,,1
23797,2,,,2
23821,2,,,2
23823,2,,,2
24147,2,,,2
24149,2,,,1
24194,2,,,1
24382,3,,500,3
24616,2,,,1
24760,4,,,4
24764,3,,200,1
24809,2,,,2
24853,2,,,2
25007,2,,,2
26349,2,,,2
27109,2,,,1
27114,2,,,1
27116,3,,1000,1
27157,2,,,1
27238,2,,,2
27509,2,,,3
27730,2,,,2
27734,2,,,1
27739,2,,,1
27742,2,,,2
27912,2,,,1
27923,2,,,2
27947,4,,,4
28362,2,,,2
28441,2,,,2
28802,2,,,1
28859,2,,,2
28992,2,,,1
29140,2,,,2
29678,2,,,1
29680,2,,,2
29737,2,,,2
29742,2,,,2
29798,2,,,1
29823,3,,8000,1
31093,2,,,3
31220,3,,200,2
31221,2,,,2
31246,2,,,1
31625,2,,,1
31652,2,,,1
31665,2,,,2
31671,2,,,1
31695,2,,,1
31724,2,,,1
31757,2,,,1
31799,2,,,1
31860,2,,,3
32034,2,,,2
32044,2,,,1
32052,2,,,2
32057,2,,,2
32190,2,,,1
32318,2,,,4
32320,2,,,2
32471,2,,,2
32524,2,,,2
32556,2,,,1
32668,2,,,1
32703,2,,,2
32709,2,,,1
32729,2,,,2
32734,2,,,2
32751,2,,,1
32765,2,,,1
32772,2,,,1
32810,4,,,4
32822,2,,,4
32839,2,,,2
32861,2,,,1
32887,2,,,1
33036,2,,,4
33038,2,,,2
33275,2,,,1
33303,2,,,1
33335,2,,,2
33336,3,,10000,2
33348,2,,,1
33451,2,,,3
33455,2,,,2
33479,2,,,2
33644,2,,,2
33823,2,,,4
33839,2,,,2
33877,2,,,2
33882,2,,,2
33937,3,,60,2
33985,3,,30000,2
33994,2,,,1
34059,2,,,1
34252,2,,,2
34732,2,,,1
34778,2,,,2
34825,2,,,1
34900,2,,,4
35005,2,,,2
35022,2,,,1
35032,2,,,2
35234,2,,,1
35319,2,,,2
35322,3,,100,3
35323,3,,100,2
35326,2,,,2
35340,2,,,4
35349,2,,,4
35355,2,,,2
35370,2,,,2
35372,2,,,2
35374,2,,,2
35379,2,,,1
35502,3,,10000,1
35507,2,,,2
35508,2,,,1
35518,2,,,2
35600,3,,3000,1
35640,2,,,2
35682,2,,,2
35788,2,,,1
35968,2,,,1
36067,2,,,2
36130,2,,,2
36164,2,,,4
36186,3,,3000,1
36250,2,,,1
