nquest,ctit,nctit,ictit,unaban,banche,scoper,utscoper,mesiscoper,vmscoper,fscoper,fscoper1,carta,carte,usocart,cartdeb,cartdeb1,bancomat,nbancoma,cartapre,ncartapre,spesecon,coldis,trading,DEPOSIT,NDEPOSIT
173,2,,,1,1,1,2,,,,,2,,,,,1,1,2,,500,1,2,1,1
375,2,,,1,1,1,2,,,,,2,,,,,1,1,2,,500,1,2,1,1
633,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
923,,,,1,1,,,,,,,2,,,,,2,,2,,300,2,,1,1
1367,,,,1,1,,,,,,,2,,,,,2,,2,,1000,2,,1,1
1763,,,,1,1,,,,,,,2,,,,,1,2,2,,500,2,,1,1
1946,2,1,1,2,2,1,2,,,,,2,,,,,1,1,2,,300,2,,1,2
2886,2,,,2,2,3,,,,,,2,,,,,1,2,2,,1500,2,,1,4
3717,,,,,,,,,,,,2,,,,,2,,2,,800,2,,2,0
5416,2,,,1,1,2,,,,,,2,,,,,1,1,2,,400,2,,1,1
7886,2,,,1,1,2,,,,,,1,1,1,,,1,1,2,,700,2,,1,1
11972,2,,,1,1,1,2,,,,,2,,,,,2,,2,,250,2,,1,1
20297,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,2
20711,2,,,1,1,2,,,,,,2,,,,,1,2,2,,500,2,,1,1
20837,1,1,2,1,1,2,,,,,,2,,,,,1,1,2,,600,2,,1,1
22099,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,1
22169,2,,,1,1,2,,,,,,2,,,,,2,,2,,600,2,,1,2
22173,2,,,1,1,3,,,,,,2,,,,,1,2,2,,1500,2,,1,2
22208,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
22276,2,,,2,2,2,,,,,,2,,,,,2,,2,,300,2,,1,2
22286,2,1,1,2,2,2,,,,,,2,,,,,1,2,2,,500,2,,1,2
22624,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,1
22657,1,2,2,2,2,1,2,,,,,1,1,1,,,1,2,2,,500,2,,1,2
22996,1,1,2,1,1,3,,,,,,2,,,,,1,1,2,,1200,2,,1,1
23370,2,,,2,2,2,,,,,,2,,,,,1,2,2,,600,2,,1,2
23490,2,,,2,2,2,,,,,,2,,,,,1,1,2,,500,2,,1,2
23797,2,,,1,1,2,,,,,,1,1,3,,1,1,1,2,,1400,2,,1,1
23821,2,,,1,1,3,,,,,,2,,,,,1,1,2,,600,1,2,1,1
23823,2,,,1,1,1,2,,,,,1,1,1,,,1,1,2,,1200,1,2,1,1
