nquest,comprens,ita,veroaf,veroab,verored,klima,facil,INTS,durata
173,10,10,8,10,6,10,10,10,50
375,6,6,6,6,6,10,10,10,54
633,8,8,8,8,8,8,8,8,33
923,6,6,6,6,6,7,6,6,13
1367,7,7,7,7,7,7,7,7,58
1763,10,10,10,10,10,10,10,10,29
1946,10,10,10,10,10,10,10,10,59
2886,10,10,9,10,9,10,10,10,100
3717,8,9,7,8,7,8,8,8,40
5416,7,7,7,7,7,6,7,7,150
7886,6,7,7,7,6,8,7,7,42
11972,7,9,7,7,8,9,8,7,84
20297,10,9,10,10,10,10,10,10,61
20711,10,10,10,10,10,10,10,10,30
20837,7,7,7,8,8,7,7,7,59
22099,10,10,10,10,10,10,10,10,29
22169,8,8,6,7,6,10,10,10,29
22173,7,6,6,6,5,7,7,6,35
22208,8,8,8,8,10,10,10,8,96
22276,8,8,8,8,8,9,8,8,69
22286,8,8,8,9,7,9,8,8,35
22624,9,10,10,10,10,10,9,9,64
22657,10,10,8,10,8,10,10,10,65
22996,9,9,7,8,8,9,8,7,55
23370,9,9,9,9,9,9,9,9,45
23490,9,9,9,9,9,9,9,9,41
23797,7,6,6,5,5,7,6,6,38
23821,6,6,8,8,8,9,8,7,40
23823,7,8,7,8,8,9,7,7,50
24147,9,9,9,9,9,9,9,9,50
24149,7,9,8,9,9,9,9,9,25
24194,8,8,8,10,7,7,7,7,88
24382,9,8,8,8,8,10,8,8,19
24616,9,9,9,10,10,10,9,8,67
24760,8,9,8,8,9,10,8,8,71
24764,7,7,7,8,7,8,7,8,75
24809,9,6,5,7,5,8,6,6,59
24853,10,10,10,10,10,10,10,10,63
25007,8,8,8,8,8,8,8,8,31
26349,8,8,8,8,8,8,8,8,45
27109,8,8,8,7,6,8,7,5,17
27114,6,8,8,9,8,9,8,6,27
27116,10,10,10,9,7,10,10,10,23
27157,7,7,7,9,8,9,8,7,73
27238,8,9,8,7,7,9,8,8,43
27509,10,10,10,10,10,10,10,10,41
27730,8,10,9,9,9,10,7,9,88
27734,10,9,9,10,9,10,9,9,96
27739,8,10,7,9,7,9,7,8,69
27742,4,6,7,8,8,10,6,6,55
27912,8,7,7,6,6,8,7,7,51
27923,6,6,6,7,6,6,6,6,38
27947,5,5,5,5,5,6,5,5,21
28362,5,5,4,4,4,4,4,4,78
28441,10,10,10,10,10,10,10,10,55
28802,9,9,9,8,9,9,9,9,37
28859,9,9,9,9,9,9,9,9,29
28992,7,8,8,7,7,9,8,8,187
29140,8,9,7,8,8,8,8,9,65
29678,8,8,8,8,9,8,8,8,39
29680,7,8,7,8,6,9,7,8,61
29737,10,10,10,10,10,10,10,10,116
29742,9,8,9,8,7,9,8,7,87
29798,10,10,10,10,10,10,10,10,44
29823,10,10,10,5,10,10,10,10,119
31093,8,8,8,9,7,7,9,8,29
31220,7,6,7,7,7,9,6,7,19
31221,10,10,10,10,10,10,10,10,62
31246,9,8,6,7,8,9,8,7,34
31625,7,7,7,7,7,7,6,6,58
31652,10,10,10,10,10,10,10,10,58
31665,8,8,8,8,8,8,8,8,80
31671,8,8,8,8,8,8,8,8,90
31695,7,8,8,8,8,9,7,7,54
31724,10,10,10,10,10,10,8,10,167
31757,6,6,6,6,6,6,5,5,34
31799,10,10,10,10,10,10,10,10,95
31860,10,10,10,10,10,10,10,10,67
32034,7,7,7,7,7,8,7,8,43
32044,8,8,8,8,8,9,8,7,32
32052,7,7,7,7,8,7,7,7,42
32057,7,8,7,7,7,7,8,7,54
32190,6,6,6,6,7,8,6,6,43
32318,10,10,10,10,10,10,10,10,36
32320,10,10,10,10,10,10,10,10,90
32471,10,10,10,10,10,10,10,10,49
32524,10,10,10,10,10,10,10,10,124
32556,10,10,10,10,10,10,10,10,52
32668,7,7,8,8,7,8,7,7,71
32703,10,10,10,10,10,10,10,10,35
32709,10,8,8,8,5,8,7,8,72
32729,10,10,10,10,10,10,10,10,94
32734,7,7,8,9,8,10,7,7,65
32751,7,7,7,8,8,7,7,7,30
32765,8,8,8,8,8,8,8,8,54
32772,8,8,8,8,8,8,8,8,66
32810,7,9,8,8,8,9,7,7,80
32822,7,7,7,8,7,7,7,7,64
32839,6,6,6,6,6,6,6,6,84
32861,8,8,8,8,8,8,8,8,60
32887,9,9,9,9,9,9,9,9,60
33036,10,10,10,10,10,10,8,10,64
33038,8,5,5,5,5,10,8,6,59
33275,10,10,10,10,10,10,10,10,76
33303,8,6,7,7,8,7,7,7,43
33335,8,8,8,8,8,8,8,8,138
33336,9,9,9,9,9,9,9,9,61
33348,9,9,8,7,9,10,9,8,88
33451,7,6,8,7,7,6,8,7,38
33455,8,8,8,8,8,8,8,6,64
33479,10,10,10,10,10,10,10,10,44
33644,7,7,7,7,7,8,7,7,41
33823,9,9,9,9,9,9,9,9,24
33839,6,7,7,8,8,8,7,7,50
33877,8,8,8,8,8,8,8,8,29
33882,8,8,8,9,8,8,8,8,31
33937,7,6,7,6,6,8,7,7,55
33985,10,10,10,10,10,10,10,10,52
33994,9,9,9,9,9,9,9,9,97
34059,10,10,10,10,10,10,10,10,44
34252,8,7,7,7,8,7,8,8,17
34732,7,7,8,7,7,8,8,7,151
34778,8,8,8,8,8,9,8,8,53
34825,8,8,8,8,10,8,8,8,55
34900,8,9,9,9,8,8,9,9,58
35005,10,10,10,10,10,10,10,10,50
35022,9,9,9,10,9,9,7,9,66
35032,10,10,10,10,10,10,10,10,65
35234,10,10,10,10,10,10,10,10,90
35319,8,8,8,10,7,8,7,8,30
35322,8,6,7,8,8,10,7,8,36
35323,7,7,8,9,7,8,7,7,23
35326,6,6,6,6,6,6,6,6,62
35340,6,6,5,5,5,6,6,5,24
35349,6,6,6,6,6,6,6,6,82
35355,5,4,4,4,4,5,4,5,57
35370,6,6,6,6,5,6,5,6,32
35372,7,7,7,7,7,7,7,7,72
35374,7,8,8,8,7,7,7,7,96
35379,8,7,8,9,6,7,7,7,46
35502,7,7,7,7,7,7,7,7,98
35507,8,8,8,8,8,8,8,7,75
35508,8,8,8,8,8,8,8,8,73
35518,8,8,8,8,8,8,8,8,36
35600,7,5,8,8,8,7,6,7,35
35640,7,7,7,7,6,7,7,7,54
35682,8,8,6,7,8,8,7,8,67
35788,10,10,10,10,10,10,10,10,93
35968,7,8,5,8,5,8,7,6,62
36067,10,10,10,10,10,10,10,10,69
36130,5,5,5,5,5,6,5,5,45
36164,8,7,8,8,7,7,7,8,78
36186,10,10,10,10,10,10,10,10,39
36250,8,8,7,8,7,8,7,7,59
36321,8,8,8,8,8,9,8,8,62
36333,10,10,10,10,10,10,10,10,52
36378,5,6,6,6,6,6,5,6,63
36403,5,5,5,7,5,5,4,6,50
36409,8,8,8,8,8,8,8,8,65
36443,10,10,10,10,10,10,10,10,47
36450,10,10,10,10,10,10,10,10,49
36522,10,10,9,10,10,10,10,10,100
36524,7,8,8,9,8,9,7,7,76
36697,8,8,8,8,8,9,9,8,68
36893,8,8,8,8,8,8,8,8,70
37001,8,8,8,9,9,8,8,8,101
37011,8,8,8,8,8,8,8,8,47
37299,8,8,8,8,9,9,9,9,27
37459,9,9,8,7,7,9,8,8,54
37521,9,9,9,9,9,9,9,9,57
37665,8,9,8,8,8,8,8,8,35
37677,9,9,9,9,8,9,9,9,67
37810,9,9,9,9,9,9,9,9,25
38014,8,8,8,9,10,10,8,8,56
38095,8,8,8,8,7,8,7,7,33
38106,10,10,10,10,10,10,10,10,35
38135,10,10,10,10,10,10,10,10,74
38272,10,10,8,10,10,10,8,10,51
38316,8,8,7,8,8,7,6,8,103
38349,8,8,8,8,8,9,8,8,69
38554,8,8,9,9,9,9,9,9,87
38877,8,7,8,6,6,7,8,8,23
38885,8,7,7,9,9,10,9,9,105
