nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4,CLY,CLY2
173,16636.652815,0,0,0,9400,23400,23400,0,-14000,0,0,-14000,0,14000,0,0,0,7236.6528152,7200,0,7200,36.652815242,36.652815242,0,0,0,3,2
375,13939.661126,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,0,4839.6611261,4825,0,4825,14.661126097,14.661126097,0,0,0,2,1
633,20305.497922,0,0,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,6005.4979223,6000,0,6000,5.4979222863,5.4979222863,0,0,0,4,2
923,13874.424613,0,0,0,8450,8450,8450,0,0,0,0,0,0,0,0,0,0,5424.4246133,5400,0,5400,24.42461327,24.42461327,0,0,0,2,1
1367,14155.201653,0,0,0,10530,10530,10530,0,0,0,0,0,0,0,0,0,0,3625.201653,3600,0,3600,25.201652974,25.201652974,0,0,0,2,1
1763,16902.199169,6000,6000,0,10300,7800,7800,0,2500,2500,0,0,0,0,0,0,0,602.19916891,600,0,600,2.1991689145,2.1991689145,0,0,0,3,2
1946,6641.9986836,0,0,0,6084,6084,6084,0,0,0,0,0,0,0,0,0,0,557.99868361,0,0,0,557.99868361,73.305630485,63.399040459,421.29401267,0,1,1
2886,54380.143715,0,0,0,44343,44343,44343,0,0,0,0,0,0,0,0,0,0,10037.143715,9800,0,9800,237.14371462,237.14371462,0,0,0,9,5
3717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5416,43005.876764,43000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8767636511,0,0,0,5.8767636511,5.8767636511,0,0,0,8,4
7886,30439.088836,10000,10000,0,12000,12000,12000,0,0,0,0,0,0,0,0,0,0,8439.088836,8400,0,8400,39.088836018,39.088836018,0,0,0,7,4
11972,30054.979223,0,0,0,24000,24000,24000,0,0,0,0,0,0,0,0,0,0,6054.9792229,6000,0,6000,54.979222863,54.979222863,0,0,0,7,4
20297,32678.326408,22000,22000,0,10410,15210,15210,0,-4800,0,0,-4800,0,4800,0,0,0,268.32640762,250,0,250,18.326407621,18.326407621,0,0,0,7,4
20711,28305.206763,0,0,0,24700,24700,24700,0,0,0,0,0,0,0,0,0,0,3605.206763,3600,0,3600,5.2067629671,5.2067629671,0,0,0,6,3
20837,47123.345869,0,0,0,29380,29380,29380,0,0,0,0,0,0,0,0,0,0,17743.345869,17400,10200,7200,343.34586945,65.975067436,277.37080201,0,0,9,5
22099,18229.832757,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,14000,0,4229.8327572,4200,0,4200,29.832757245,29.832757245,0,0,0,4,2
22169,14200,0,0,0,14200,14300,14300,0,-100,0,0,-100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,1
22173,22725.656971,8400,8400,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,25.65697067,0,0,0,25.65697067,25.65697067,0,0,0,5,3
22208,31747.553745,0,0,0,26944,26944,26944,0,0,0,0,0,0,0,0,0,0,4803.5537446,4800,0,4800,3.553744572,3.553744572,0,0,0,7,4
22276,29892.062421,0,0,0,27300,27300,27300,0,0,0,0,0,0,0,0,0,0,2592.062421,2400,0,2400,192.06242102,192.06242102,0,0,0,7,4
