nquest,Y,CN,CD1,CD2,CD,C,S
173,16636.652815,15600,0,600,600,16200,436.65281524
375,13939.661126,18425,0,0,0,18425,-4485.338874
633,20305.497922,15600,0,0,0,15600,4705.4979223
923,13874.424613,8280,0,0,0,8280,5594.4246133
1367,14155.201653,15300,0,0,0,15300,-1144.798347
1763,16902.199169,8680,0,0,0,8680,8222.1991689
1946,6641.9986836,8800,0,0,0,8800,-2158.001316
2886,54380.143715,28600,3800,0,3800,32400,21980.143715
3717,0,11400,0,0,0,11400,-11400
5416,43005.876764,28200,0,0,0,28200,14805.876764
7886,30439.088836,14400,0,0,0,14400,16039.088836
11972,30054.979223,9000,0,500,500,9500,20554.979223
20297,32678.326408,28810,0,0,0,28810,3868.3264076
20711,28305.206763,36100,0,0,0,36100,-7794.793237
20837,47123.345869,23200,0,0,0,23200,23923.345869
22099,18229.832757,16200,0,0,0,16200,2029.8327572
22169,14200,9000,0,0,0,9000,5200
22173,22725.656971,26400,0,0,0,26400,-3674.343029
22208,31747.553745,30800,0,0,0,30800,947.55374457
22276,29892.062421,5780,0,0,0,5780,24112.062421
22286,26729.328152,21600,0,0,0,21600,5129.3281517
22624,19300,22600,0,0,0,22600,-3300
22657,44252.633891,31550,0,500,500,32050,12202.633891
22996,39458.935086,29200,0,0,0,29200,10258.935086
23370,16849.170081,14400,0,0,0,14400,2449.1700809
23490,23617.226823,23300,0,0,0,23300,317.22682316
23797,27831.154893,35800,0,0,0,35800,-7968.845107
23821,12183.218528,11400,0,0,0,11400,783.2185276
23823,30855.170776,21200,0,0,0,21200,9655.1707764
24147,65915.195979,38400,0,0,0,38400,27515.195979
24149,12097.330563,9124,0,0,0,9124,2973.330563
24194,68560.493299,25650,0,1600,1600,27250,41310.493299
24382,11891.290777,8850,0,0,0,8850,3041.290777
24616,26814.661126,15120,0,0,0,15120,11694.661126
24760,16836.652815,15600,0,0,0,15600,1236.6528152
24764,28010.995845,25200,0,0,0,25200,2810.9958446
24809,30525.656971,15300,0,0,0,15300,15225.656971
24853,54344.932134,26000,0,0,0,26000,28344.932134
25007,18983.168855,8400,0,0,0,8400,10583.168855
26349,19081.218596,18000,0,0,0,18000,1081.2185957
27109,7800,9100,0,0,0,9100,-1300
27114,16094.661126,11280,0,0,0,11280,4814.6611261
27116,12003.298753,7320,0,0,0,7320,4683.2987534
27157,10202.546422,12600,0,0,0,12600,-2397.453578
27238,31636.652815,27600,0,0,0,27600,4036.6528152
27509,27618.342241,16800,0,0,0,16800,10818.342241
27730,45664.661126,25480,0,0,0,25480,20184.661126
27734,23462.296422,16100,0,0,0,16100,7362.2964224
27739,26363.949169,25200,0,2000,2000,27200,-836.0508306
27742,12360,8500,0,0,0,8500,3860
27912,34329.322252,10200,13500,2050,15550,25750,8579.3222522
27923,24208.490961,19350,0,200,200,19550,4658.490961
27947,22102.78546,14050,0,0,0,14050,8052.78546
28362,25950.676432,28800,0,0,0,28800,-2849.323568
28441,40256.023822,34800,0,0,0,34800,5456.0238219
28802,54410.780312,32400,0,0,0,32400,22010.780312
28859,11855.783239,7800,0,0,0,7800,4055.783239
28992,32093.30563,27180,0,0,0,27180,4913.3056305
29140,42734.572188,38400,0,0,0,38400,4334.5721885
29678,18957.5551,15000,0,0,0,15000,3957.5550997
29680,39605.497922,16800,0,0,0,16800,22805.497922
29737,66889.280698,26100,0,500,500,26600,40289.280698
29742,39630,20900,19000,0,19000,39900,-270
29798,29579.833783,21200,0,400,400,21600,7979.8337829
29823,43940,37200,0,1000,1000,38200,5740
31093,22251.279049,13200,0,0,0,13200,9051.279049
31220,59698.139086,16800,0,0,0,16800,42898.139086
31221,29707.330563,22200,0,0,0,22200,7507.330563
31246,38410.76093,30600,0,600,600,31200,7210.7609296
31625,38353.707331,30200,0,0,0,30200,8153.7073314
31652,49981.090315,34600,0,0,0,34600,15381.090315
31665,30822.816253,15400,0,0,0,15400,15422.816253
31671,33070.154955,24090,0,0,0,24090,8980.1549545
31695,48710.995845,39400,13000,1000,14000,53400,-4689.004155
31724,90575.525285,42625,0,0,0,42625,47950.525285
31757,17556.448409,21100,0,0,0,21100,-3543.551591
31799,31153.622179,18200,0,0,0,18200,12953.622179
31860,42927.019231,26400,0,500,500,26900,16027.019231
32034,21717.350597,14400,0,0,0,14400,7317.3505971
32044,8982.5656971,13710,0,0,0,13710,-4727.434303
32052,33234.319398,33200,0,0,0,33200,34.31939769
32057,49387.918908,28800,0,500,500,29300,20087.918908
32190,24236.652815,18500,3000,0,3000,21500,2736.6528152
32318,18936.652815,15600,0,0,0,15600,3336.6528152
32320,81824.660564,46800,0,0,0,46800,35024.660564
32471,11418.16435,14200,0,0,0,14200,-2781.83565
32524,77592.458237,31346,0,4000,4000,35346,42246.458237
32556,21721.991689,24320,0,0,0,24320,-2598.008311
32668,31725.290443,19700,0,0,0,19700,12025.290443
32703,13800,12000,0,0,0,12000,1800
32709,89528.978289,37200,0,0,0,37200,52328.978289
32729,63461.280037,27600,0,1800,1800,29400,34061.280037
32734,23807.330563,29000,18000,0,18000,47000,-23192.66944
32751,33239.62042,24400,0,0,0,24400,8839.6204203
32765,58473.30563,41400,0,2000,2000,43400,15073.30563
32772,26883.264076,25200,0,0,0,25200,1683.2640762
32810,10898.20363,9600,0,0,0,9600,1298.2036297
32822,41347.64866,36440,0,0,0,36440,4907.6486598
32839,26754.036498,16300,0,500,500,16800,9954.0364979
32861,56207.363345,36400,0,1600,1600,38000,18207.363345
32887,48005.497922,37800,0,0,0,37800,10205.497922
33036,10400,10260,0,0,0,10260,140
33038,50316.385841,28300,0,0,0,28300,22016.385841
33275,45650,18000,0,700,700,18700,26950
33303,39672.245495,23900,0,0,0,23900,15772.245495
33335,63608.059011,42000,0,300,300,42300,21308.059011
33336,21100,22900,0,0,0,22900,-1800
33348,37086.652815,19100,2750,600,3350,22450,14636.652815
33451,23447.64866,29000,0,0,0,29000,-5552.35134
33455,30053.283686,21300,0,1000,1000,22300,7753.283686
33479,44829.322252,14400,0,0,0,14400,30429.322252
