Downloaded from wid.world on 08-04-2020 at 16:19:51
Percentile;Year;"anweal_992_i_FR
Market-value national wealth
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2018)
France";"anweal_992_i_US
Market-value national wealth
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2018)
USA";"shweal_z_FR
Net personal wealth
Top 10% | share
France";"shweal_z_US
Net personal wealth
Top 10% | share
USA"
pall;1807;;;;
pall;1808;;;;
pall;1809;;;;
pall;1810;;;;
pall;1811;;;;
pall;1812;;;;
pall;1813;;;;
pall;1814;;;;
pall;1815;;;;
pall;1816;;;;
pall;1817;;;;
pall;1818;;;;
pall;1819;;;;
pall;1820;;;;
pall;1821;;;;
pall;1822;;;;
pall;1823;;;;
pall;1824;;;;
pall;1825;;;;
pall;1826;;;;
pall;1827;;;;
pall;1828;;;;
pall;1829;;;;
pall;1830;;;;
pall;1831;;;;
pall;1832;;;;
pall;1833;;;;
pall;1834;;;;
pall;1835;;;;
pall;1836;;;;
pall;1837;;;;
pall;1838;;;;
pall;1839;;;;
pall;1840;;;;
pall;1841;;;;
pall;1842;;;;
pall;1843;;;;
pall;1844;;;;
pall;1845;;;;
pall;1846;;;;
pall;1847;;;;
pall;1848;;;;
pall;1849;;;;
pall;1850;;;;
pall;1851;;;;
pall;1852;;;;
pall;1853;;;;
pall;1854;;;;
pall;1855;;;;
pall;1856;;;;
pall;1857;;;;
pall;1858;;;;
pall;1859;;;;
pall;1860;;;;
pall;1861;;;;
pall;1862;;;;
pall;1863;;;;
pall;1864;;;;
pall;1865;;;;
pall;1866;;;;
pall;1867;;;;
pall;1868;;;;
pall;1869;;;;
pall;1870;23540.6052;;;
pall;1871;24099.6836;;;
pall;1872;23709.6974;;;
pall;1873;23660.462;;;
pall;1874;23794.196;;;
pall;1875;23626.5295;;;
pall;1876;23999.0267;;;
pall;1877;24197.9644;;;
pall;1878;24394.4307;;;
pall;1879;24388.2525;;;
pall;1880;24504.2124;;;
pall;1881;24909.9767;;;
pall;1882;25359.0834;;;
pall;1883;25942.9696;;;
pall;1884;26376.4883;;;
pall;1885;26757.8251;;;
pall;1886;27238.6781;;;
pall;1887;27639.9752;;;
pall;1888;28004.5833;;;
pall;1889;28574.4023;;;
pall;1890;29201.0606;;;
pall;1891;29852.6217;;;
pall;1892;30287.4711;;;
pall;1893;30772.6014;;;
pall;1894;31472.4474;;;
pall;1895;31878.592;;;
pall;1896;32434.0586;;;
pall;1897;33751.5333;;;
pall;1898;32736.2195;;;
pall;1899;33526.6473;;;
pall;1900;34807.243;;;
pall;1901;34365.455;;;
pall;1902;34388.5519;;;
pall;1903;36168.8204;;;
pall;1904;37344.1018;;;
pall;1905;36814.4885;;;
pall;1906;37389.155;;;
pall;1907;37728.4801;;;
pall;1908;37637.3281;;;
pall;1909;38801.2035;;;
pall;1910;39995.1145;;;
pall;1911;37810.5074;;;
pall;1912;38023.0371;;;
pall;1913;37787.9808;46999.2163;;
pall;1914;35108.4534;47690.9092;;
pall;1915;34081.6386;51175.3187;;
pall;1916;30919.167;52342.8475;;
pall;1917;27707.8402;44275.8876;;
pall;1918;24728.338;38999.2309;;
pall;1919;21679.3549;37818.428;;
pall;1920;21224.9255;33534.1707;;
pall;1921;20782.9475;37234.4373;;
pall;1922;19585.8048;42202.1665;;
pall;1923;16760.4722;42536.8128;;
pall;1924;16795.8304;43546.7101;;
pall;1925;15608.9531;45972.8016;;
pall;1926;17043.243;47588.0339;;
pall;1927;19316.2458;50844.1418;;
pall;1928;21563.7753;57584.2822;;
pall;1929;23301.9371;59727.3913;;
