nquest,anabit,godabit,unipro,quopro,anposs,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,poss,impacq,fittonop,tfittonop,tfitto,tipoaff,dfittom,tfittom,propriet,tfitimp,tfitimp2,ritaff,supab,ancostr,bagni,valabit,aspvalabit1_1,aspvalabit1_2,aspvalabit1_3,aspvalabit1_4,aspvalabit1_5,aspvalabit2_1,aspvalabit2_2,aspvalabit2_3,aspvalabit2_4,aspvalabit2_5,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,antic,anticipi,manstra11,tmanstra11,manstra12,tmanstra12,manstra21,tmanstra21,manstra22,tmanstra22,energia,tenergia,tenergian,ristrut,tristrut,tristrutn,debita1,ndebita1,debita2,ndebita2,debitc,ndebitc,debitd,ndebitd,debite,ndebite,debitf,ndebitf,debitg,ndebitg,chifinmut,chifincons,ritardo,credit,tcredit,debit,tdebit,mutuor,fmutrif,mutuoe,mutuorif,reapmut,mutuor3,mutuoe3,reapmut3,mutuoric,mutuoric3,casafut,ncasafut,cla_ered,cla_ered2,intpersezd,docsezd,ROTAZIONE
173,2004,1,1,100,2004,1,,,,,,,,,1,100000,,,,,,,,600,,,160,1980,2,120000,30,30,15,20,5,,,,,,2,,2,,2,,2,,2,,2,,1,500,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
375,1970,1,1,100,1969,1,,,,,,,,,7,5000,,,,,,,,,300,,120,1968,2,180000,,,,,,0,50,50,0,0,1,1,2,,1,1,2,,2,,2,,1,5000,2,,2,,2,,,1,,1,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
633,1963,1,1,100,1960,1,,,,,,,,,7,10000,,,,,,,,500,,,120,1960,1,200000,0,0,100,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
923,1966,1,1,100,1960,1,,,,,,,,,7,25000,,,,,,,,450,,,180,1960,2,270000,0,25,50,25,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
1367,1940,1,1,100,1940,1,,,,,,,,,1,5000,,,,,,,,,300,,90,1940,2,60000,,,,,,10,30,20,20,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
1763,1979,1,1,100,1979,1,2,,,,,,,,4,,,,,,,,,,50,,45,1850,1,35000,,,,,,50,50,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,1,1,,1,1,2,2
1946,1964,2,,,,,,,,,,,,,,,,,112,1,1,400,7,,,2,94,1960,1,70000,,,,,,5,30,40,20,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
2886,1981,1,1,100,1981,1,2,,,,,,,,1,23000,,,,,,,,,450,,100,1968,2,200000,,,,,,10,20,40,30,0,1,2,1,1,1,1,2,,1,11000,1,1300,2,,2,,1,1400,1,850,,2,,,2,,2,,1,1,2,,2,,2,,2,,,2,2,2,,2,,1,2,1,,,,,,,,1,1,,2,1,2,2
3717,1995,2,,,,,,,,,,,,,,,,,450,1,2,,4,,,2,90,1950,2,120000,0,0,100,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,1,2000,2,,,,,2,,,2,2,,,,,1,2,1
5416,1985,2,,,,,,,,,,,,,,,,,350,5,1,450,6,,,2,60,1958,1,100000,20,20,60,0,0,,,,,,2,,2,,2,,2,,2,,1,400,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
