nquest,ass1a1,ass1a2,ass1a3,ass1a4,ass1c1,ass1c2,ass1c3,ass1c4,ass1h1,ass1h2,ass1h3,ass1h4,ass1i1,ass1i2,ass1i3,ass1i4,ass1k1,ass1k2,ass1k3,ass1k4,ass1k_11,ass1k_12,ass1k_13,ass1k_14,ass1m1,ass1m2,ass1m3,ass1m4,ass1p1,ass1p2,ass1p3,ass1p4,ass1r1,ass1r2,ass1r3,ass1r4,ass1s1,ass1s2,ass1s3,ass1s4,ass1si1,ass1si2,ass1si3,ass1si4,ass1v1,ass1v2,ass1v3,ass1v4,NASS1,ass1,ass4s1,ass4s2,ass4s3,ass4s4,ass4H1,ass4H2,ass4H3,ass4H4,NASS4,ass4,adesione1,adesione2,adesione3,adesione4,ass2c1,ass2c2,ass2c3,ass2c4,ass2a1,ass2a2,ass2a3,ass2a4,ass2cn1,ass2cn2,ass2cn3,ass2cn4,ass2f1,ass2f2,ass2f3,ass2f4,ass2f_11,ass2f_12,ass2f_13,ass2f_14,ass2gn1,ass2gn2,ass2gn3,ass2gn4,ass2k1,ass2k2,ass2k3,ass2k4,ass2q1,ass2q2,ass2q3,ass2q4,ass2ris1,ass2ris2,ass2ris3,ass2ris4,ass2rist1,ass2rist2,ass2rist3,ass2rist4,ass2s1,ass2s2,ass2s3,ass2s4,ass2s_11,ass2s_12,ass2s_13,ass2s_14,ass2t1,ass2t2,ass2t3,ass2t4,ass2td1,ass2td2,ass2td3,ass2td4,ass2ts1,ass2ts2,ass2ts3,ass2ts4,compa1u1,compa1u2,compa1u3,compa1u4,contraz1,contraz2,contraz3,contraz4,contraz_11,contraz_12,contraz_13,contraz_14,contrazq1,contrazq2,contrazq3,contrazq4,NASS2,ass2,nass31,nass32,nass33,ass3s,ass3h1,ass3h2,ass3h3,intpersezf,docsezf,ass3
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,90,3,,,1,2,1
633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
2886,2005,,,,2,,,,3,,,,2,,,,15600,,,,,,,,1,,,,1,,,,1,,,,1300,,,,,,,,1,,,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
3717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
5416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
