nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
173,1,0,0,23400,0,0,0,0,14000,0,23400,-14000,-14000,9400,0,0,7200,7200,36.652815242,0,0,0,36.652815242,7236.6528152,16636.652815,0,0
375,1,0,0,9100,0,0,0,0,0,0,9100,0,0,9100,0,0,4825,4825,14.661126097,0,0,0,14.661126097,4839.6611261,13939.661126,0,0
633,1,0,0,14300,0,0,0,0,0,0,14300,0,0,14300,0,0,6000,6000,5.4979222863,0,0,0,5.4979222863,6005.4979223,20305.497922,0,0
923,1,0,0,8450,0,0,0,0,0,0,8450,0,0,8450,0,0,5400,5400,24.42461327,0,0,0,24.42461327,5424.4246133,13874.424613,0,0
1367,1,0,0,6240,0,0,0,0,0,0,6240,0,0,6240,0,0,3600,3600,25.201652974,0,0,0,25.201652974,3625.201653,9865.201653,0,0
1367,2,0,0,4290,0,0,0,0,0,0,4290,0,0,4290,0,0,0,0,0,0,0,0,0,0,4290,0,0
1763,1,0,0,7800,0,0,0,0,0,0,7800,0,0,7800,0,0,600,600,2.1991689145,0,0,0,2.1991689145,602.19916891,8402.1991689,0,0
1763,2,6000,0,0,0,2500,0,0,0,6000,0,0,2500,2500,0,0,0,0,0,0,0,0,0,0,8500,0,0
1946,1,0,0,6084,0,0,0,0,0,0,6084,0,0,6084,0,0,0,0,73.305630485,63.399040459,421.29401267,0,557.99868361,557.99868361,6641.9986836,0,0
2886,1,0,0,15743,0,0,0,0,0,0,15743,0,0,15743,0,0,9800,9800,237.14371462,0,0,0,237.14371462,10037.143715,25780.143715,0,0
2886,2,0,0,28600,0,0,0,0,0,0,28600,0,0,28600,0,0,0,0,0,0,0,0,0,0,28600,0,0
5416,1,10000,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,5.8767636511,0,0,0,5.8767636511,5.8767636511,10005.876764,0,0
5416,2,9000,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0
5416,3,8000,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0
5416,4,16000,0,0,0,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,0
7886,1,0,0,12000,0,0,0,0,0,0,12000,0,0,12000,0,0,8400,8400,39.088836018,0,0,0,39.088836018,8439.088836,20439.088836,0,0
7886,2,10000,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0
11972,1,0,0,14400,0,0,0,0,0,0,14400,0,0,14400,0,0,6000,6000,54.979222863,0,0,0,54.979222863,6054.9792229,20454.979223,0,0
11972,2,0,0,9600,0,0,0,0,0,0,9600,0,0,9600,0,0,0,0,0,0,0,0,0,0,9600,0,0
20297,1,0,0,15210,0,0,0,0,4800,0,15210,-4800,-4800,10410,0,0,250,250,18.326407621,0,0,0,18.326407621,268.32640762,10678.326408,0,0
20297,2,22000,0,0,0,0,0,0,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,0,0
20711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,5.2067629671,0,0,0,5.2067629671,3605.206763,3605.206763,0,0
20711,2,0,0,24700,0,0,0,0,0,0,24700,0,0,24700,0,0,0,0,0,0,0,0,0,0,24700,0,0
20837,1,0,0,22880,0,0,0,0,0,0,22880,0,0,22880,0,10200,7200,17400,65.975067436,277.37080201,0,0,343.34586945,17743.345869,40623.345869,0,0
20837,2,0,0,6500,0,0,0,0,0,0,6500,0,0,6500,0,0,0,0,0,0,0,0,0,0,6500,0,0
22099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,4200,4200,29.832757245,0,0,0,29.832757245,4229.8327572,18229.832757,14000,0
22169,1,0,0,6500,0,0,0,0,100,0,6500,-100,-100,6400,0,0,0,0,0,0,0,0,0,0,6400,0,0
22169,2,0,0,7800,0,0,0,0,0,0,7800,0,0,7800,0,0,0,0,0,0,0,0,0,0,7800,0,0
22173,1,0,0,14300,0,0,0,0,0,0,14300,0,0,14300,0,0,0,0,25.65697067,0,0,0,25.65697067,25.65697067,14325.656971,0,0
22173,3,8400,0,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,0,0
22208,1,0,0,26944,0,0,0,0,0,0,26944,0,0,26944,0,0,4800,4800,3.553744572,0,0,0,3.553744572,4803.5537446,31747.553745,0,0
22276,1,0,0,15600,0,0,0,0,0,0,15600,0,0,15600,0,0,2400,2400,192.06242102,0,0,0,192.06242102,2592.062421,18192.062421,0,0
22276,2,0,0,11700,0,0,0,0,0,0,11700,0,0,11700,0,0,0,0,0,0,0,0,0,0,11700,0,0
